,Unnamed: 0,Rank,player_name,position,"Team Currently With","Age",Contract_Length,AAV,team_x,TOI_22_23,Goals_22_23,A1_22_23,iCF_22_23,ixG_22_23,Giveaways_22_23,Takeaways_22_23,GAR_22_23,WAR_22_23,SPAR_22_23,team_y,TOI_23_24,Goals_23_24,A1_23_24,iCF_23_24,ixG_23_24,Giveaways_23_24,Takeaways_23_24,GAR_23_24,WAR_23_24,SPAR_23_24,team,TOI_24_25,Goals_24_25,A1_24_25,iCF_24_25,ixG_24_25,Giveaways_24_25,Takeaways_24_25,GAR_24_25,WAR_24_25,SPAR_24_25,TOI%_22_23,TOI%_23_24,TOI%_24_25,prev_cap_hit_pct
1011,1011,T216,erik johnson,D,"PHI
                     PHI",36,1,1000000.0,COL,1087.03,0.0,5.0,182.0,3.36,17.0,16.0,-1.5,-0.3,-0.5,PHI,279.32,2.0,0.0,41.0,0.52,3.0,3.0,-0.8,-0.1,-0.3,PHI,292.7,1.0,0.0,29.0,0.8,18.0,8.0,-0.8,-0.1,-0.3,4.418821138211380,1.1354471544715400,1.1898373983739800,1.2232415902140700
1012,1012,T216,connor brown,RW,"EDM
                     EDM",30,1,1000000.0,WSH,67.07,0.0,0.0,8.0,0.55,2.0,1.0,-1.1,-0.2,-0.3,EDM,908.77,4.0,6.0,194.0,11.5,21.0,46.0,-8.4,-1.4,-2.7,EDM,743.0,7.0,5.0,141.0,8.37,37.0,22.0,2.9,0.5,0.9,0.27264227642276400,3.694186991869920,3.0203252032520300,1.2121212121212100
1013,1013,T216,craig smith,C,"CHI
                     CHI",34,1,1000000.0,BOS,429.97,4.0,0.0,89.0,4.56,10.0,14.0,-1.8,-0.3,-0.6,DAL,766.25,11.0,4.0,216.0,11.41,23.0,22.0,1.4,0.2,0.5,CHI,386.73,7.0,4.0,104.0,4.72,21.0,10.0,-0.8,-0.1,-0.2,1.7478455284552800,3.1148373983739800,1.5720731707317100,1.1976047904191600
1014,1014,T216,craig smith,C,"CHI
                     CHI",34,1,1000000.0,BOS,429.97,4.0,0.0,89.0,4.56,10.0,14.0,0.6,0.1,0.2,DAL,766.25,11.0,4.0,216.0,11.41,23.0,22.0,1.4,0.2,0.5,CHI,386.73,7.0,4.0,104.0,4.72,21.0,10.0,-0.8,-0.1,-0.2,1.7478455284552800,3.1148373983739800,1.5720731707317100,1.1428571428571400
1015,1015,T216,craig smith,C,"CHI
                     CHI",34,1,1000000.0,WSH,273.37,5.0,1.0,89.0,6.41,11.0,8.0,-1.8,-0.3,-0.6,DAL,766.25,11.0,4.0,216.0,11.41,23.0,22.0,1.4,0.2,0.5,CHI,386.73,7.0,4.0,104.0,4.72,21.0,10.0,-0.8,-0.1,-0.2,1.111260162601630,3.1148373983739800,1.5720731707317100,1.2626262626262600
1016,1016,T216,craig smith,C,"CHI
                     CHI",34,1,1000000.0,WSH,273.37,5.0,1.0,89.0,6.41,11.0,8.0,0.6,0.1,0.2,DAL,766.25,11.0,4.0,216.0,11.41,23.0,22.0,1.4,0.2,0.5,CHI,386.73,7.0,4.0,104.0,4.72,21.0,10.0,-0.8,-0.1,-0.2,1.111260162601630,3.1148373983739800,1.5720731707317100,1.2269938650306700
1017,1017,T216,taylor raddysh,RW,"WAS
                     WAS",26,1,1000000.0,CHI,1292.08,20.0,8.0,224.0,18.99,29.0,33.0,2.3,0.4,0.8,CHI,1159.42,5.0,4.0,220.0,13.4,29.0,43.0,-7.6,-1.2,-2.4,WSH,682.23,5.0,5.0,120.0,8.37,34.0,9.0,3.9,0.6,1.2,5.252357723577240,4.71308943089431,2.7732926829268300,1.2232415902140700
1018,1018,T216,brendan smith,D,"DAL
                     DAL",35,1,1000000.0,N.J,933.2,0.0,1.0,128.0,3.51,31.0,25.0,-4.3,-0.7,-1.4,N.J,1014.33,5.0,3.0,136.0,3.58,29.0,16.0,7.7,1.3,2.4,DAL,305.63,0.0,2.0,55.0,1.37,21.0,5.0,-0.6,-0.1,-0.2,3.7934959349593500,4.12329268292683,1.2423983739837400,1.2232415902140700
1019,1019,T216,declan chisholm,D,"MIN
                     MIN",24,1,1000000.0,,,,,,,,,,,,MIN,489.3,3.0,4.0,68.0,2.14,12.0,5.0,-0.1,0.0,0.0,MIN,838.83,2.0,6.0,114.0,1.66,57.0,21.0,4.5,0.7,1.4,,1.9890243902439000,3.409878048780490,1.2121212121212100
1020,1020,T216,oliver wahlstrom,RW,"BOS
                     BOS",24,1,1000000.0,NYI,425.68,7.0,2.0,140.0,5.77,11.0,12.0,4.7,0.8,1.5,NYI,354.25,2.0,3.0,82.0,3.71,10.0,10.0,-2.8,-0.5,-0.9,BOS,162.35,1.0,0.0,51.0,2.49,3.0,2.0,-0.4,-0.1,-0.1,1.7304065040650400,1.440040650406500,0.6599593495934960,1.1976047904191600
1021,1021,T216,oliver wahlstrom,RW,"BOS
                     BOS",24,1,1000000.0,NYI,425.68,7.0,2.0,140.0,5.77,11.0,12.0,4.7,0.8,1.5,NYI,354.25,2.0,3.0,82.0,3.71,10.0,10.0,-2.8,-0.5,-0.9,BOS,162.35,1.0,0.0,51.0,2.49,3.0,2.0,-2.8,-0.5,-0.9,1.7304065040650400,1.440040650406500,0.6599593495934960,1.1428571428571400
1022,1022,T216,oliver wahlstrom,RW,"BOS
                     BOS",24,1,1000000.0,NYI,425.68,7.0,2.0,140.0,5.77,11.0,12.0,4.7,0.8,1.5,NYI,354.25,2.0,3.0,82.0,3.71,10.0,10.0,-2.8,-0.5,-0.9,NYI,271.62,2.0,1.0,54.0,1.99,8.0,3.0,-0.4,-0.1,-0.1,1.7304065040650400,1.440040650406500,1.1041463414634100,1.2626262626262600
1023,1023,T216,oliver wahlstrom,RW,"BOS
                     BOS",24,1,1000000.0,NYI,425.68,7.0,2.0,140.0,5.77,11.0,12.0,4.7,0.8,1.5,NYI,354.25,2.0,3.0,82.0,3.71,10.0,10.0,-2.8,-0.5,-0.9,NYI,271.62,2.0,1.0,54.0,1.99,8.0,3.0,-2.8,-0.5,-0.9,1.7304065040650400,1.440040650406500,1.1041463414634100,1.2269938650306700
1024,1024,224,daniel sprong,RW,"SEA
                     SEA",27,1,975000.0,SEA,753.55,21.0,19.0,280.0,13.5,21.0,21.0,12.8,2.2,4.1,DET,912.03,18.0,14.0,299.0,14.88,26.0,16.0,5.8,0.9,1.8,SEA,123.68,1.0,0.0,33.0,1.41,3.0,2.0,-0.1,0.0,0.0,3.063211382113820,3.707439024390240,0.5027642276422770,1.1926605504587200
1025,1025,224,daniel sprong,RW,"SEA
                     SEA",27,1,975000.0,SEA,753.55,21.0,19.0,280.0,13.5,21.0,21.0,12.8,2.2,4.1,DET,912.03,18.0,14.0,299.0,14.88,26.0,16.0,5.8,0.9,1.8,SEA,123.68,1.0,0.0,33.0,1.41,3.0,2.0,0.0,0.0,0.0,3.063211382113820,3.707439024390240,0.5027642276422770,1.1926605504587200
1026,1026,224,daniel sprong,RW,"SEA
                     SEA",27,1,975000.0,SEA,753.55,21.0,19.0,280.0,13.5,21.0,21.0,12.8,2.2,4.1,DET,912.03,18.0,14.0,299.0,14.88,26.0,16.0,5.8,0.9,1.8,VAN,104.9,1.0,2.0,29.0,0.66,6.0,1.0,-0.1,0.0,0.0,3.063211382113820,3.707439024390240,0.4264227642276420,1.1818181818181800
1027,1027,224,daniel sprong,RW,"SEA
                     SEA",27,1,975000.0,SEA,753.55,21.0,19.0,280.0,13.5,21.0,21.0,12.8,2.2,4.1,DET,912.03,18.0,14.0,299.0,14.88,26.0,16.0,5.8,0.9,1.8,VAN,104.9,1.0,2.0,29.0,0.66,6.0,1.0,0.0,0.0,0.0,3.063211382113820,3.707439024390240,0.4264227642276420,1.1676646706586800
1028,1028,T225,eric robinson,LW,"CAR
                     CAR",29,1,950000.0,CBJ,1004.27,12.0,6.0,190.0,13.86,17.0,30.0,-1.5,-0.3,-0.5,BUF,439.92,2.0,5.0,113.0,7.81,3.0,9.0,-1.7,-0.3,-0.6,CAR,681.72,12.0,9.0,146.0,12.97,27.0,6.0,10.7,1.7,3.3,4.08239837398374,1.7882926829268300,2.771219512195120,1.0857142857142900
1029,1029,T225,eric robinson,LW,"CAR
                     CAR",29,1,950000.0,CBJ,1004.27,12.0,6.0,190.0,13.86,17.0,30.0,-1.5,-0.3,-0.5,BUF,439.92,2.0,5.0,113.0,7.81,3.0,9.0,-2.2,-0.4,-0.7,CAR,681.72,12.0,9.0,146.0,12.97,27.0,6.0,10.7,1.7,3.3,4.08239837398374,1.7882926829268300,2.771219512195120,1.1994949494949500
1030,1030,T225,eric robinson,LW,"CAR
                     CAR",29,1,950000.0,CBJ,1004.27,12.0,6.0,190.0,13.86,17.0,30.0,-1.5,-0.3,-0.5,CBJ,92.72,1.0,0.0,16.0,1.19,1.0,3.0,-1.7,-0.3,-0.6,CAR,681.72,12.0,9.0,146.0,12.97,27.0,6.0,10.7,1.7,3.3,4.08239837398374,0.37691056910569100,2.771219512195120,1.165644171779140
1031,1031,T225,eric robinson,LW,"CAR
                     CAR",29,1,950000.0,CBJ,1004.27,12.0,6.0,190.0,13.86,17.0,30.0,-1.5,-0.3,-0.5,CBJ,92.72,1.0,0.0,16.0,1.19,1.0,3.0,-2.2,-0.4,-0.7,CAR,681.72,12.0,9.0,146.0,12.97,27.0,6.0,10.7,1.7,3.3,4.08239837398374,0.37691056910569100,2.771219512195120,1.162079510703360
1032,1032,T225,pierre-olivier joseph,D,"PIT
                     PIT",25,1,950000.0,PIT,1143.68,5.0,9.0,221.0,4.05,33.0,38.0,6.0,1.0,1.9,PIT,784.4,2.0,5.0,112.0,1.21,20.0,22.0,-0.8,-0.1,-0.2,PIT,349.57,0.0,1.0,59.0,0.66,18.0,12.0,-7.5,-1.2,-2.3,4.649105691056910,3.188617886178860,1.4210162601626000,1.162079510703360
1033,1033,T225,pierre-olivier joseph,D,"PIT
                     PIT",25,1,950000.0,PIT,1143.68,5.0,9.0,221.0,4.05,33.0,38.0,6.0,1.0,1.9,PIT,784.4,2.0,5.0,112.0,1.21,20.0,22.0,-0.8,-0.1,-0.2,PIT,349.57,0.0,1.0,59.0,0.66,18.0,12.0,-0.6,-0.1,-0.2,4.649105691056910,3.188617886178860,1.4210162601626000,1.1515151515151500
1034,1034,T225,pierre-olivier joseph,D,"PIT
                     PIT",25,1,950000.0,PIT,1143.68,5.0,9.0,221.0,4.05,33.0,38.0,6.0,1.0,1.9,PIT,784.4,2.0,5.0,112.0,1.21,20.0,22.0,-0.8,-0.1,-0.2,STL,301.45,0.0,1.0,47.0,0.64,28.0,7.0,-7.5,-1.2,-2.3,4.649105691056910,3.188617886178860,1.2254065040650400,1.1377245508982000
1035,1035,T225,pierre-olivier joseph,D,"PIT
                     PIT",25,1,950000.0,PIT,1143.68,5.0,9.0,221.0,4.05,33.0,38.0,6.0,1.0,1.9,PIT,784.4,2.0,5.0,112.0,1.21,20.0,22.0,-0.8,-0.1,-0.2,STL,301.45,0.0,1.0,47.0,0.64,28.0,7.0,-0.6,-0.1,-0.2,4.649105691056910,3.188617886178860,1.2254065040650400,1.0857142857142900
1036,1036,T225,ty emberson,D,"EDM
                     EDM",24,1,950000.0,,,,,,,,,,,,S.J,556.48,1.0,3.0,74.0,0.96,8.0,7.0,5.5,0.9,1.7,EDM,785.23,0.0,6.0,105.0,1.21,30.0,23.0,7.5,1.2,2.3,,2.2621138211382100,3.191991869918700,1.1994949494949500
1037,1037,T228,jacob bryson,D,"BUF
                     BUF",26,1,900000.0,BUF,861.12,1.0,4.0,58.0,0.86,8.0,13.0,-4.4,-0.7,-1.4,BUF,528.37,1.0,4.0,34.0,0.39,7.0,4.0,1.5,0.2,0.5,BUF,460.43,0.0,3.0,39.0,0.72,24.0,4.0,1.9,0.3,0.6,3.500487804878050,2.1478455284552800,1.8716666666666700,1.1042944785276100
1038,1038,T228,erik brannstrom,D,"NYR
                     NYR",24,1,900000.0,OTT,1192.4,2.0,6.0,200.0,4.01,48.0,28.0,6.2,1.0,2.0,OTT,1260.92,3.0,7.0,175.0,4.63,52.0,22.0,-2.0,-0.3,-0.6,VAN,418.17,3.0,3.0,81.0,1.4,26.0,6.0,1.0,0.2,0.3,4.847154471544720,5.125691056910570,1.6998780487804900,1.1009174311926600
1039,1039,T228,cameron atkinson,RW,"TBL
                     TBL",35,1,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1009174311926600
1040,1040,T228,james van riemsdyk,LW,"CBJ
                     CBJ",35,1,900000.0,PHI,936.58,12.0,8.0,196.0,16.61,10.0,24.0,6.5,1.1,2.1,BOS,958.93,11.0,16.0,222.0,22.76,14.0,11.0,0.2,0.0,0.1,CBJ,615.03,11.0,9.0,100.0,9.69,28.0,4.0,6.2,1.0,1.9,3.8072357723577200,3.898089430894310,2.500121951219510,1.090909090909090
1041,1041,232,nicholas robertson,LW,"TOR
                     TOR",22,1,875000.0,TOR,163.27,2.0,0.0,48.0,2.49,5.0,7.0,0.8,0.1,0.3,TOR,637.08,14.0,7.0,168.0,9.59,18.0,28.0,4.4,0.7,1.4,TOR,567.63,8.0,3.0,142.0,6.05,13.0,12.0,3.0,0.5,0.9,0.6636991869918700,2.5897560975609800,2.307439024390240,1.0479041916167700
1042,1042,T233,noah gregor,C,"OTT
                     OTT",26,1,850000.0,S.J,739.52,10.0,6.0,204.0,12.86,10.0,25.0,-5.1,-0.9,-1.7,TOR,718.13,6.0,5.0,193.0,10.56,13.0,16.0,-6.8,-1.1,-2.2,OTT,404.75,4.0,2.0,106.0,4.85,13.0,5.0,-5.4,-0.9,-1.7,3.006178861788620,2.9192276422764200,1.6453252032520300,0.9714285714285710
1043,1043,T233,simon holmstrom,RW,"NYI
                     NYI",23,1,850000.0,NYI,554.85,6.0,1.0,77.0,4.86,13.0,21.0,-1.1,-0.2,-0.3,NYI,998.78,15.0,10.0,152.0,9.6,19.0,53.0,-1.7,-0.3,-0.5,NYI,778.15,14.0,10.0,137.0,9.44,31.0,8.0,5.3,0.9,1.6,2.2554878048780500,4.060081300813010,3.163211382113820,1.073232323232320
1044,1044,T233,colin white,C,"SJS
                     SJS",27,1,850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0429447852760700
1045,1045,T236,dennis gilbert,D,"BUF
                     BUF",27,1,825000.0,CGY,270.0,1.0,1.0,36.0,0.36,8.0,3.0,1.7,0.3,0.5,CGY,417.63,1.0,0.0,54.0,0.88,10.0,5.0,-1.8,-0.3,-0.6,BUF,192.13,0.0,1.0,17.0,0.18,7.0,2.0,-0.5,-0.1,-0.2,1.097560975609760,1.6976829268292700,0.7810162601626020,1.0091743119266100
1046,1046,T236,jonatan berggren,RW,"DET
                     DET",24,1,825000.0,DET,901.82,15.0,9.0,158.0,10.07,26.0,16.0,2.9,0.5,0.9,DET,130.33,2.0,1.0,23.0,1.35,0.0,3.0,2.6,0.4,0.8,DET,693.87,9.0,6.0,139.0,7.69,20.0,9.0,1.0,0.2,0.3,3.6659349593495900,0.5297967479674800,2.8206097560975600,1.0091743119266100
1047,1047,T236,arthur kaliyev,RW,"NYR
                     NYR",23,1,825000.0,L.A,654.07,13.0,8.0,227.0,13.49,14.0,8.0,1.9,0.3,0.6,L.A,601.92,7.0,7.0,211.0,9.75,15.0,11.0,2.3,0.4,0.7,NYR,124.55,3.0,1.0,26.0,1.32,4.0,0.0,1.9,0.3,0.6,2.6588211382113800,2.446829268292680,0.5063008130081300,1.0
1048,1048,T236,philip tomasino,C,"PIT
                     PIT",23,1,825000.0,NSH,483.42,5.0,10.0,102.0,5.9,15.0,10.0,3.0,0.5,1.0,NSH,515.53,7.0,7.0,112.0,6.87,28.0,16.0,-0.1,0.0,0.0,NSH,124.32,0.0,0.0,27.0,2.03,8.0,2.0,0.2,0.0,0.1,1.9651219512195100,2.095650406504070,0.5053658536585370,0.9880239520958090
