,Unnamed: 0,Rank,player_name,position,"Team Currently With","Age",Contract_Length,AAV,team_x,TOI_22_23,Goals_22_23,A1_22_23,iCF_22_23,ixG_22_23,Giveaways_22_23,Takeaways_22_23,GAR_22_23,WAR_22_23,SPAR_22_23,team_y,TOI_23_24,Goals_23_24,A1_23_24,iCF_23_24,ixG_23_24,Giveaways_23_24,Takeaways_23_24,GAR_23_24,WAR_23_24,SPAR_23_24,team,TOI_24_25,Goals_24_25,A1_24_25,iCF_24_25,ixG_24_25,Giveaways_24_25,Takeaways_24_25,GAR_24_25,WAR_24_25,SPAR_24_25,TOI%_22_23,TOI%_23_24,TOI%_24_25,prev_cap_hit_pct
0,0,1,connor mcdavid,C,"EDM
                     EDM",20,8,12500000.0,EDM,1835.62,64.0,60.0,528.0,48.48,77.0,82.0,31.7,5.4,10.2,EDM,1623.3,32.0,62.0,452.0,34.08,84.0,68.0,32.4,5.3,10.3,EDM,1087.77,22.0,34.0,282.0,23.94,58.0,20.0,16.7,2.7,5.2,7.461869918699190,6.598780487804880,4.421829268292680,15.782828282828300
1,1,2,jack eichel,C,"VGK
                     VGK",21,8,10000000.0,VGK,1257.38,27.0,22.0,359.0,22.86,54.0,47.0,17.6,3.0,5.7,VGK,1292.75,31.0,21.0,431.0,25.66,42.0,60.0,15.3,2.5,4.8,VGK,1160.25,19.0,20.0,311.0,18.74,60.0,22.0,14.3,2.3,4.4,5.111300813008130,5.255081300813010,4.716463414634150,12.269938650306700
2,2,3,john tavares,C,"TOR
                     TOR",27,7,11000000.0,TOR,1412.52,36.0,27.0,464.0,46.51,54.0,46.0,10.3,1.7,3.3,TOR,1429.2,29.0,18.0,484.0,45.05,51.0,37.0,8.3,1.4,2.6,TOR,878.83,21.0,14.0,218.0,22.31,45.0,15.0,11.9,1.9,3.7,5.741951219512200,5.809756097560980,3.572479674796750,13.455657492354700
3,3,4,john carlson,D,"WAS
                     WAS",27,8,8000000.0,WSH,935.6,9.0,9.0,261.0,8.58,33.0,21.0,-0.8,-0.1,-0.3,WSH,2123.12,10.0,16.0,439.0,13.41,82.0,58.0,2.1,0.3,0.7,WSH,1311.9,4.0,18.0,283.0,7.1,83.0,20.0,4.6,0.8,1.4,3.803252032520330,8.630569105691060,5.332926829268290,9.785932721712540
4,4,5,marc-edouard vlasic,D,"SJS
                     SJS",30,8,7000000.0,S.J,1363.05,1.0,5.0,179.0,3.78,37.0,34.0,9.5,1.6,3.1,S.J,928.05,6.0,2.0,158.0,2.99,27.0,16.0,-1.9,-0.3,-0.6,S.J,103.62,0.0,1.0,11.0,0.09,10.0,1.0,1.2,0.2,0.4,5.5408536585365900,3.772560975609760,0.42121951219512200,8.484848484848490
5,5,6,cam fowler,D,"STL
                     STL",26,8,6500000.0,ANA,1982.23,10.0,21.0,294.0,7.35,48.0,34.0,-2.6,-0.4,-0.8,ANA,1978.28,5.0,15.0,258.0,5.18,44.0,27.0,-9.0,-1.5,-2.9,ANA,358.05,0.0,4.0,41.0,0.99,15.0,4.0,-8.1,-1.3,-2.5,8.057845528455290,8.04178861788618,1.4554878048780500,7.784431137724550
6,6,6,cam fowler,D,"STL
                     STL",26,8,6500000.0,ANA,1982.23,10.0,21.0,294.0,7.35,48.0,34.0,-2.6,-0.4,-0.8,ANA,1978.28,5.0,15.0,258.0,5.18,44.0,27.0,-9.0,-1.5,-2.9,ANA,358.05,0.0,4.0,41.0,0.99,15.0,4.0,4.0,0.7,1.2,8.057845528455290,8.04178861788618,1.4554878048780500,7.428571428571430
7,7,6,cam fowler,D,"STL
                     STL",26,8,6500000.0,ANA,1982.23,10.0,21.0,294.0,7.35,48.0,34.0,-2.6,-0.4,-0.8,ANA,1978.28,5.0,15.0,258.0,5.18,44.0,27.0,-9.0,-1.5,-2.9,STL,593.33,6.0,5.0,83.0,1.93,26.0,5.0,-8.1,-1.3,-2.5,8.057845528455290,8.04178861788618,2.4119105691056900,8.207070707070710
8,8,6,cam fowler,D,"STL
                     STL",26,8,6500000.0,ANA,1982.23,10.0,21.0,294.0,7.35,48.0,34.0,-2.6,-0.4,-0.8,ANA,1978.28,5.0,15.0,258.0,5.18,44.0,27.0,-9.0,-1.5,-2.9,STL,593.33,6.0,5.0,83.0,1.93,26.0,5.0,4.0,0.7,1.2,8.057845528455290,8.04178861788618,2.4119105691056900,7.975460122699390
9,9,7,nikolaj ehlers,LW,"WPG
                     WPG",21,7,6000000.0,WPG,705.12,12.0,15.0,293.0,12.58,23.0,30.0,6.7,1.1,2.2,WPG,1301.65,25.0,24.0,495.0,21.44,45.0,37.0,8.1,1.3,2.6,WPG,740.92,17.0,23.0,231.0,14.79,37.0,11.0,12.1,2.0,3.8,2.866341463414630,5.291260162601630,3.011869918699190,7.339449541284400
10,10,8,michael matheson,D,"MTL
                     MTL",23,8,4875000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.963302752293580
11,11,9,jaccob slavin,D,"CAR
                     CAR",23,7,5300000.0,CAR,1671.8,7.0,10.0,297.0,7.35,40.0,88.0,12.0,2.0,3.9,CAR,1695.48,6.0,11.0,340.0,6.34,32.0,71.0,11.5,1.9,3.6,CAR,1211.5,4.0,5.0,221.0,4.99,53.0,42.0,5.2,0.9,1.6,6.7959349593495900,6.89219512195122,4.92479674796748,6.424242424242420
12,12,10,shea theodore,D,"VGK
                     VGK",22,7,5200000.0,VGK,1178.82,8.0,15.0,285.0,7.42,24.0,28.0,10.2,1.7,3.3,VGK,1038.15,5.0,19.0,273.0,5.28,22.0,27.0,6.2,1.0,2.0,VGK,1212.42,7.0,23.0,282.0,6.03,86.0,27.0,5.4,0.9,1.7,4.791951219512200,4.220121951219510,4.928536585365850,6.227544910179640
13,13,1,erik karlsson,D,"PIT
                     PIT",28,8,11500000.0,S.J,2101.18,25.0,42.0,505.0,11.91,101.0,81.0,18.3,3.1,5.9,PIT,1990.02,11.0,24.0,550.0,12.27,71.0,50.0,4.9,0.8,1.6,PIT,1315.28,6.0,13.0,377.0,6.7,91.0,28.0,8.7,1.4,2.7,8.541382113821140,8.089512195121950,5.346666666666670,13.142857142857100
14,14,2,drew doughty,D,"LAK
                     LAK",29,8,11000000.0,L.A,2123.98,9.0,14.0,290.0,9.0,59.0,22.0,7.4,1.3,2.4,L.A,2115.07,15.0,14.0,307.0,8.18,45.0,20.0,7.4,1.2,2.3,L.A,161.7,0.0,0.0,32.0,1.45,7.0,0.0,-2.6,-0.4,-0.8,8.634065040650410,8.597845528455280,0.6573170731707320,13.88888888888890
15,15,3,artemi panarin,LW,"NYR
                     NYR",27,7,11642857.0,NYR,1607.83,29.0,34.0,430.0,21.14,102.0,36.0,11.5,1.9,3.7,NYR,1649.75,49.0,37.0,651.0,32.07,72.0,34.0,17.6,2.9,5.6,NYR,1049.42,23.0,14.0,395.0,18.05,68.0,12.0,4.0,0.7,1.2,6.53589430894309,6.70630081300813,4.265934959349590,14.28571411042950
16,16,4,tyler seguin,C,"DAL
                     DAL",26,8,9850000.0,DAL,1262.9,21.0,15.0,303.0,24.03,33.0,28.0,4.6,0.8,1.5,DAL,1125.02,25.0,15.0,271.0,19.83,27.0,21.0,5.7,0.9,1.8,DAL,308.18,9.0,8.0,88.0,7.67,12.0,4.0,6.8,1.1,2.1,5.133739837398380,4.573252032520330,1.2527642276422800,12.048929663608600
17,17,T5,nikita kucherov,RW,"TBL
                     TBL",25,8,9500000.0,T.B,1650.85,30.0,48.0,545.0,31.3,98.0,57.0,16.1,2.7,5.2,T.B,1753.9,44.0,62.0,635.0,36.13,96.0,62.0,24.7,4.0,7.8,T.B,1132.63,25.0,41.0,372.0,18.29,88.0,19.0,16.2,2.6,5.0,6.7107723577235800,7.129674796747970,4.604186991869920,11.62079510703360
18,18,T5,mark stone,RW,"VGK
                     VGK",26,8,9500000.0,VGK,833.2,17.0,13.0,190.0,18.82,22.0,47.0,19.2,3.3,6.2,VGK,1086.78,16.0,20.0,212.0,18.03,29.0,62.0,9.5,1.6,3.0,VGK,831.52,14.0,22.0,146.0,14.5,51.0,27.0,11.4,1.9,3.5,3.3869918699187000,4.417804878048780,3.380162601626020,11.515151515151500
19,19,7,mitchell marner,RW,"TOR
                     TOR",21,6,10903000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05748502994010
20,20,8,logan couture,C,"SJS
                     SJS",29,8,8000000.0,S.J,1568.78,27.0,23.0,342.0,28.37,35.0,71.0,6.2,1.1,2.0,S.J,112.52,0.0,1.0,20.0,1.27,1.0,2.0,-1.9,-0.3,-0.6,,,,,,,,,,,,6.377154471544720,0.45739837398374000,,9.142857142857140
21,21,9,jacob trouba,D,"ANA
                     ANA",24,7,8000000.0,NYR,1738.68,8.0,11.0,362.0,8.56,49.0,32.0,2.2,0.4,0.7,NYR,1465.95,3.0,10.0,271.0,5.36,33.0,13.0,-5.3,-0.9,-1.7,ANA,607.5,0.0,5.0,105.0,1.21,37.0,13.0,3.3,0.5,1.0,7.067804878048780,5.959146341463420,2.4695121951219500,10.1010101010101
22,22,9,jacob trouba,D,"ANA
                     ANA",24,7,8000000.0,NYR,1738.68,8.0,11.0,362.0,8.56,49.0,32.0,2.2,0.4,0.7,NYR,1465.95,3.0,10.0,271.0,5.36,33.0,13.0,-5.3,-0.9,-1.7,ANA,607.5,0.0,5.0,105.0,1.21,37.0,13.0,-2.0,-0.3,-0.6,7.067804878048780,5.959146341463420,2.4695121951219500,9.815950920245400
23,23,9,jacob trouba,D,"ANA
                     ANA",24,7,8000000.0,NYR,1738.68,8.0,11.0,362.0,8.56,49.0,32.0,2.2,0.4,0.7,NYR,1465.95,3.0,10.0,271.0,5.36,33.0,13.0,-5.3,-0.9,-1.7,NYR,480.18,0.0,5.0,88.0,1.51,23.0,6.0,3.3,0.5,1.0,7.067804878048780,5.959146341463420,1.9519512195122000,9.785932721712540
24,24,9,jacob trouba,D,"ANA
                     ANA",24,7,8000000.0,NYR,1738.68,8.0,11.0,362.0,8.56,49.0,32.0,2.2,0.4,0.7,NYR,1465.95,3.0,10.0,271.0,5.36,33.0,13.0,-5.3,-0.9,-1.7,NYR,480.18,0.0,5.0,88.0,1.51,23.0,6.0,-2.0,-0.3,-0.6,7.067804878048780,5.959146341463420,1.9519512195122000,9.785932721712540
25,25,10,mikko rantanen,RW,"CAR
                     CAR",22,6,9250000.0,COL,1822.07,55.0,37.0,559.0,39.13,45.0,61.0,14.7,2.5,4.8,COL,1832.45,42.0,36.0,527.0,33.96,43.0,43.0,18.0,3.0,5.7,CAR,118.08,1.0,1.0,40.0,2.81,5.0,4.0,0.6,0.1,0.2,7.406788617886180,7.448983739837400,0.48,11.212121212121200
26,26,10,mikko rantanen,RW,"CAR
                     CAR",22,6,9250000.0,COL,1822.07,55.0,37.0,559.0,39.13,45.0,61.0,14.7,2.5,4.8,COL,1832.45,42.0,36.0,527.0,33.96,43.0,43.0,18.0,3.0,5.7,CAR,118.08,1.0,1.0,40.0,2.81,5.0,4.0,5.3,0.9,1.7,7.406788617886180,7.448983739837400,0.48,11.077844311377200
27,27,10,mikko rantanen,RW,"CAR
                     CAR",22,6,9250000.0,COL,1822.07,55.0,37.0,559.0,39.13,45.0,61.0,14.7,2.5,4.8,COL,1832.45,42.0,36.0,527.0,33.96,43.0,43.0,18.0,3.0,5.7,COL,1102.42,25.0,26.0,286.0,24.91,48.0,22.0,0.6,0.1,0.2,7.406788617886180,7.448983739837400,4.481382113821140,10.571428571428600
28,28,10,mikko rantanen,RW,"CAR
                     CAR",22,6,9250000.0,COL,1822.07,55.0,37.0,559.0,39.13,45.0,61.0,14.7,2.5,4.8,COL,1832.45,42.0,36.0,527.0,33.96,43.0,43.0,18.0,3.0,5.7,COL,1102.42,25.0,26.0,286.0,24.91,48.0,22.0,5.3,0.9,1.7,7.406788617886180,7.448983739837400,4.481382113821140,11.679292929292900
29,29,T11,kyle connor,LW,"WPG
                     WPG",22,7,7142857.0,WPG,1683.4,32.0,31.0,498.0,33.76,40.0,42.0,8.8,1.5,2.8,WPG,1282.1,34.0,13.0,398.0,24.27,31.0,39.0,1.5,0.2,0.5,WPG,1124.05,30.0,24.0,316.0,19.99,58.0,23.0,12.1,2.0,3.8,6.8430894308943100,5.211788617886180,4.569308943089430,8.764241717791410
30,30,T11,kevin hayes,C,"PIT
                     PIT",26,7,7142857.0,PHI,1422.5,18.0,26.0,387.0,18.89,35.0,40.0,-0.6,-0.1,-0.2,STL,1142.88,13.0,5.0,271.0,17.53,31.0,41.0,6.2,1.0,2.0,PIT,477.78,9.0,3.0,124.0,9.35,18.0,11.0,1.1,0.2,0.3,5.782520325203250,4.645853658536590,1.9421951219512200,8.737439755351680
31,31,T11,ryan ellis,D,"PHI
                     PHI",27,8,6250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64525993883792
32,32,14,anders lee,C,"NYI
                     NYI",28,7,7000000.0,NYI,1412.28,28.0,12.0,335.0,37.47,35.0,25.0,6.9,1.2,2.2,NYI,1260.93,20.0,3.0,329.0,33.79,19.0,27.0,8.3,1.4,2.7,NYI,955.03,23.0,11.0,264.0,27.47,46.0,8.0,8.9,1.5,2.8,5.740975609756100,5.125731707317070,3.8822357723577200,8.484848484848490
33,33,15,ryan mcdonagh,D,"TBL
                     TBL",29,7,6750000.0,NSH,1527.95,2.0,10.0,178.0,5.27,59.0,47.0,3.7,0.6,1.2,NSH,1612.32,3.0,13.0,213.0,3.85,56.0,35.0,4.6,0.7,1.5,T.B,1134.38,2.0,6.0,128.0,2.63,75.0,22.0,6.1,1.0,1.9,6.211178861788620,6.554146341463410,4.61130081300813,8.08383233532934
34,34,16,william karlsson,C,"VGK
                     VGK",25,8,5900000.0,VGK,1432.45,14.0,19.0,290.0,22.14,33.0,44.0,5.3,0.9,1.7,VGK,1232.03,30.0,20.0,301.0,23.54,35.0,42.0,18.1,3.0,5.8,VGK,652.95,7.0,8.0,184.0,11.41,35.0,11.0,2.2,0.4,0.7,5.822967479674800,5.008252032520330,2.6542682926829300,6.742857142857140
35,35,17,nick schmaltz,C,"UTA
                     UTA",22,7,5850000.0,ARI,1241.33,22.0,16.0,252.0,16.66,55.0,61.0,7.9,1.3,2.5,ARI,1514.98,22.0,23.0,339.0,20.85,53.0,66.0,7.7,1.3,2.5,UTA,1063.15,11.0,16.0,243.0,15.65,67.0,22.0,8.1,1.3,2.5,5.0460569105691100,6.158455284552850,4.321747967479680,7.386363636363640
36,36,18,ivan provorov,D,"CBJ
                     CBJ",21,6,6750000.0,PHI,1887.87,6.0,9.0,257.0,5.97,85.0,34.0,-3.0,-0.5,-1.0,CBJ,1817.32,5.0,13.0,239.0,4.76,40.0,22.0,0.1,0.0,0.0,CBJ,1324.98,6.0,9.0,181.0,4.05,74.0,21.0,5.3,0.9,1.7,7.6742682926829300,7.387479674796750,5.386097560975610,8.282208588957050
37,37,19,brock nelson,C,"NYI
                     NYI",27,6,6000000.0,NYI,1511.72,36.0,24.0,418.0,28.83,40.0,48.0,17.9,3.0,5.8,NYI,1482.85,34.0,23.0,419.0,29.55,45.0,39.0,11.3,1.9,3.6,NYI,1054.63,17.0,12.0,261.0,17.97,29.0,25.0,5.7,0.9,1.8,6.145203252032520,6.027845528455280,4.287113821138210,7.339449541284400
38,38,20,esa lindell,D,"DAL
                     DAL",24,6,5800000.0,DAL,1633.25,8.0,7.0,231.0,6.97,56.0,31.0,10.4,1.8,3.4,DAL,1678.68,5.0,8.0,251.0,5.83,34.0,31.0,10.1,1.7,3.2,DAL,1209.72,4.0,7.0,154.0,3.74,68.0,26.0,12.3,2.0,3.8,6.639227642276420,6.8239024390243900,4.9175609756097600,7.09480122324159
39,39,21,alex tuch,RW,"BUF
                     BUF",22,7,4750000.0,BUF,1417.27,36.0,29.0,363.0,27.71,38.0,63.0,17.7,3.0,5.7,BUF,1462.78,22.0,20.0,356.0,24.49,31.0,81.0,6.6,1.1,2.1,BUF,1050.63,19.0,9.0,253.0,17.61,44.0,29.0,3.5,0.6,1.1,5.7612601626016300,5.946260162601630,4.270853658536590,5.757575757575760
40,40,22,travis konecny,C,"PHI
                     PHI",21,6,5500000.0,PHI,1206.5,31.0,23.0,358.0,23.38,26.0,34.0,0.5,0.1,0.2,PHI,1507.87,33.0,23.0,491.0,28.08,30.0,53.0,8.6,1.4,2.7,PHI,1180.53,22.0,26.0,268.0,16.12,56.0,22.0,1.1,0.2,0.3,4.904471544715450,6.129552845528460,4.79890243902439,6.58682634730539
41,41,23,yanni gourde,C,"SEA
                     SEA",27,6,5166667.0,SEA,1387.78,14.0,17.0,244.0,17.75,27.0,65.0,10.4,1.8,3.4,SEA,1395.82,11.0,15.0,293.0,21.89,25.0,62.0,1.7,0.3,0.5,SEA,544.87,6.0,4.0,83.0,7.26,23.0,11.0,3.2,0.5,1.0,5.641382113821140,5.674065040650410,2.214918699186990,5.904762285714290
42,42,24,jakob chychrun,D,"WAS
                     WAS",20,6,4600000.0,ARI,837.83,7.0,7.0,226.0,7.98,34.0,13.0,6.4,1.1,2.1,OTT,1835.97,14.0,11.0,485.0,13.75,73.0,22.0,8.9,1.5,2.8,WSH,1049.92,14.0,12.0,294.0,7.89,58.0,22.0,5.7,0.9,1.8,3.4058130081300800,7.46329268292683,4.267967479674800,5.808080808080810
43,43,24,jakob chychrun,D,"WAS
                     WAS",20,6,4600000.0,ARI,837.83,7.0,7.0,226.0,7.98,34.0,13.0,-2.1,-0.4,-0.7,OTT,1835.97,14.0,11.0,485.0,13.75,73.0,22.0,8.9,1.5,2.8,WSH,1049.92,14.0,12.0,294.0,7.89,58.0,22.0,5.7,0.9,1.8,3.4058130081300800,7.46329268292683,4.267967479674800,5.644171779141110
44,44,24,jakob chychrun,D,"WAS
                     WAS",20,6,4600000.0,OTT,251.95,2.0,0.0,55.0,2.33,12.0,5.0,6.4,1.1,2.1,OTT,1835.97,14.0,11.0,485.0,13.75,73.0,22.0,8.9,1.5,2.8,WSH,1049.92,14.0,12.0,294.0,7.89,58.0,22.0,5.7,0.9,1.8,1.0241869918699200,7.46329268292683,4.267967479674800,5.626911314984710
45,45,24,jakob chychrun,D,"WAS
                     WAS",20,6,4600000.0,OTT,251.95,2.0,0.0,55.0,2.33,12.0,5.0,-2.1,-0.4,-0.7,OTT,1835.97,14.0,11.0,485.0,13.75,73.0,22.0,8.9,1.5,2.8,WSH,1049.92,14.0,12.0,294.0,7.89,58.0,22.0,5.7,0.9,1.8,1.0241869918699200,7.46329268292683,4.267967479674800,5.626911314984710
46,46,25,christian dvorak,C,"MTL
                     MTL",22,6,4450000.0,MTL,1079.08,10.0,6.0,144.0,13.79,34.0,20.0,-6.2,-1.1,-2.0,MTL,465.93,5.0,3.0,63.0,4.46,14.0,12.0,-3.0,-0.5,-1.0,MTL,829.72,6.0,9.0,150.0,11.3,42.0,14.0,0.4,0.1,0.1,4.38650406504065,1.8940243902439000,3.3728455284552800,5.393939393939390
47,47,26,jakob silfverberg,RW,"ANA
                     ANA",28,5,5250000.0,ANA,1229.3,10.0,10.0,229.0,11.52,19.0,28.0,-0.2,0.0,-0.1,ANA,1057.1,7.0,6.0,196.0,10.24,25.0,23.0,-1.0,-0.2,-0.3,,,,,,,,,,,,4.997154471544720,4.297154471544720,,6.287425149700600
48,48,27,brandon tanev,C,"SEA
                     SEA",27,6,3500000.0,SEA,1166.22,16.0,12.0,192.0,18.76,24.0,33.0,9.5,1.6,3.1,SEA,962.78,7.0,6.0,136.0,11.0,13.0,31.0,0.4,0.1,0.1,SEA,774.98,9.0,5.0,130.0,9.83,37.0,17.0,-2.2,-0.4,-0.7,4.740731707317070,3.913739837398370,3.150325203252030,4.0
49,49,28,colton sissons,C,"NSH
                     NSH",25,7,2857143.0,NSH,1297.82,12.0,5.0,179.0,13.36,27.0,32.0,-0.7,-0.1,-0.2,NSH,1342.47,15.0,15.0,241.0,23.18,31.0,33.0,-4.1,-0.7,-1.3,NSH,770.08,6.0,6.0,113.0,8.05,24.0,17.0,-3.1,-0.5,-0.9,5.275691056910570,5.457195121951220,3.1304065040650400,3.607503787878790
50,50,29,paul byron,C,"MTL
                     MTL",29,4,3400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.171779141104290
51,51,30,carl hagelin,LW,"WAS
                     WAS",30,4,2750000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3639143730886800
52,52,1,roman josi,D,"NSH
                     NSH",29,8,9059000.0,NSH,1686.2,18.0,21.0,542.0,17.42,29.0,24.0,12.8,2.2,4.1,NSH,2019.75,23.0,38.0,602.0,17.53,60.0,33.0,22.0,3.6,7.0,NSH,1258.17,9.0,19.0,349.0,11.77,73.0,23.0,3.3,0.5,1.0,6.854471544715450,8.210365853658540,5.114512195121950,11.081345565749200
53,53,2,thomas chabot,D,"OTT
                     OTT",22,8,8000000.0,OTT,1698.12,11.0,12.0,355.0,9.23,65.0,19.0,14.6,2.5,4.7,OTT,1175.3,9.0,9.0,262.0,7.2,36.0,25.0,9.3,1.5,3.0,OTT,1275.43,4.0,11.0,309.0,6.26,67.0,26.0,17.4,2.8,5.4,6.902926829268290,4.777642276422760,5.184674796747970,9.696969696969700
54,54,3,alex pietrangelo,D,"VGK
                     VGK",29,7,8800000.0,VGK,1750.63,11.0,19.0,335.0,10.41,52.0,56.0,9.6,1.6,3.1,VGK,1508.2,4.0,16.0,317.0,7.35,40.0,50.0,7.5,1.2,2.4,VGK,1197.53,3.0,10.0,230.0,5.04,81.0,21.0,1.5,0.2,0.5,7.116382113821140,6.130894308943090,4.868008130081300,10.538922155688600
55,55,4,clayton keller,C,"UTA
                     UTA",21,8,7150000.0,ARI,1701.52,37.0,38.0,383.0,24.72,63.0,58.0,9.3,1.6,3.0,ARI,1501.17,33.0,27.0,430.0,27.06,47.0,43.0,4.9,0.8,1.5,UTA,1060.42,20.0,18.0,307.0,18.04,55.0,19.0,11.2,1.8,3.5,6.916747967479680,6.102317073170730,4.310650406504070,8.17142857142857
56,56,5,jared spurgeon,D,"MIN
                     MIN",30,7,7575000.0,MIN,1723.15,11.0,11.0,290.0,10.13,20.0,15.0,18.1,3.1,5.8,MIN,373.23,0.0,1.0,54.0,1.22,1.0,3.0,2.8,0.5,0.9,MIN,836.4,6.0,6.0,147.0,3.49,35.0,15.0,1.7,0.3,0.5,7.004674796747970,1.5171951219512200,3.4000000000000000,9.56439393939394
57,57,6,brayden schenn,C,"STL
                     STL",28,8,6500000.0,STL,1511.13,21.0,22.0,284.0,19.83,47.0,41.0,0.1,0.0,0.0,STL,1458.03,20.0,17.0,327.0,25.25,38.0,59.0,1.9,0.3,0.6,STL,985.78,11.0,13.0,199.0,15.03,36.0,10.0,3.6,0.6,1.1,6.142804878048780,5.926951219512200,4.007235772357720,7.975460122699390
58,58,7,nico hischier,C,"NJD
                     NJD",20,7,7224286.0,N.J,1561.85,31.0,32.0,418.0,39.25,41.0,64.0,20.3,3.4,6.6,N.J,1383.23,27.0,24.0,328.0,31.64,28.0,55.0,8.8,1.4,2.8,N.J,1037.68,24.0,13.0,247.0,23.9,35.0,17.0,11.6,1.9,3.6,6.348983739837400,5.622886178861790,4.218211382113820,8.837047094801220
59,59,8,joshua morrissey,D,"WPG
                     WPG",24,8,6250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64525993883792
60,60,9,nicklas backstrom,C,"WAS
                     WAS",32,5,9200000.0,WSH,658.27,7.0,8.0,118.0,8.63,22.0,16.0,-2.1,-0.4,-0.7,WSH,116.47,0.0,0.0,17.0,1.89,3.0,5.0,-1.6,-0.3,-0.5,,,,,,,,,,,,2.6758943089430900,0.47345528455284500,,11.15151515151520
61,61,T10,chris kreider,LW,"NYR
                     NYR",28,7,6500000.0,NYR,1454.63,36.0,14.0,382.0,39.25,39.0,31.0,12.1,2.1,3.9,NYR,1540.25,39.0,23.0,440.0,41.77,29.0,23.0,12.0,2.0,3.8,NYR,812.32,16.0,0.0,194.0,18.35,22.0,6.0,-3.0,-0.5,-0.9,5.913130081300810,6.2611788617886200,3.302113821138210,7.784431137724550
62,62,T10,justin faulk,D,"STL
                     STL",27,7,6500000.0,STL,1916.93,11.0,20.0,352.0,12.23,58.0,51.0,6.3,1.1,2.0,STL,1317.73,2.0,16.0,264.0,7.44,35.0,35.0,3.0,0.5,0.9,STL,1166.1,2.0,8.0,200.0,4.03,66.0,21.0,-7.4,-1.2,-2.3,7.79239837398374,5.356626016260160,4.7402439024390200,7.428571428571430
63,63,T10,torey krug,D,"STL
                     STL",28,7,6500000.0,STL,1170.45,7.0,13.0,251.0,6.81,30.0,19.0,-2.6,-0.4,-0.8,STL,1690.95,4.0,16.0,354.0,10.18,45.0,38.0,-5.2,-0.9,-1.7,,,,,,,,,,,,4.757926829268290,6.873780487804880,,8.207070707070710
64,64,13,josh anderson,RW,"MTL
                     MTL",25,7,5500000.0,MTL,1170.23,21.0,7.0,281.0,24.49,25.0,30.0,1.5,0.3,0.5,MTL,1206.15,9.0,7.0,277.0,21.14,20.0,21.0,-6.1,-1.0,-1.9,MTL,793.05,8.0,6.0,155.0,11.84,27.0,14.0,-2.1,-0.3,-0.7,4.757032520325200,4.903048780487810,3.223780487804880,6.748466257668710
65,65,14,samuel girard,D,"COL
                     COL",21,7,5000000.0,COL,1633.62,6.0,11.0,269.0,5.74,36.0,42.0,2.8,0.5,0.9,COL,1143.47,3.0,9.0,188.0,3.95,32.0,23.0,4.9,0.8,1.6,COL,1138.68,3.0,8.0,173.0,3.0,62.0,16.0,4.8,0.8,1.5,6.640731707317070,4.648252032520330,4.628780487804880,6.116207951070340
66,66,15,charlie coyle,C,"BOS
                     BOS",27,6,5250000.0,BOS,1391.02,16.0,16.0,240.0,15.45,42.0,59.0,5.2,0.9,1.7,BOS,1481.45,25.0,18.0,253.0,21.38,36.0,53.0,2.5,0.4,0.8,BOS,997.38,13.0,3.0,170.0,11.42,31.0,35.0,-1.4,-0.2,-0.4,5.654552845528460,6.022154471544720,4.054390243902440,6.422018348623850
67,67,16,jean-gabriel pageau,C,"NYI
                     NYI",27,6,5000000.0,NYI,1232.87,13.0,15.0,204.0,19.06,35.0,33.0,1.7,0.3,0.5,NYI,1304.48,11.0,16.0,185.0,15.34,31.0,27.0,1.1,0.2,0.3,NYI,877.25,10.0,11.0,157.0,13.66,31.0,16.0,-0.8,-0.1,-0.3,5.011666666666670,5.302764227642280,3.5660569105691100,6.0606060606060600
68,68,17,rasmus andersson,D,"CGY
                     CGY",23,6,4550000.0,CGY,1903.03,11.0,23.0,305.0,9.37,51.0,29.0,8.1,1.4,2.6,CGY,1858.45,9.0,14.0,340.0,9.98,60.0,31.0,1.6,0.3,0.5,CGY,1325.03,8.0,2.0,251.0,5.99,78.0,26.0,-5.1,-0.8,-1.6,7.735894308943090,7.5546747967479700,5.38630081300813,5.449101796407190
69,69,18,jacob muzzin,D,"TOR
                     TOR",30,4,5625000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.428571428571430
70,70,19,marcus pettersson,D,"VAN
                     VAN",23,5,4025175.0,PIT,1399.7,1.0,14.0,216.0,5.09,43.0,25.0,7.5,1.3,2.4,PIT,1859.02,4.0,8.0,267.0,4.28,32.0,26.0,15.2,2.5,4.8,PIT,1036.13,3.0,8.0,142.0,1.72,60.0,23.0,9.1,1.5,2.8,5.689837398373980,7.556991869918700,4.211910569105690,5.082291666666670
