player_name,Final_Predicted_GAR_25_26
John Tavares,13.09013938456758
Mitch Marner,17.604492583202756
Jamie Benn,7.063965386907398
Mikko Rantanen,7.336700167808116
Brent Burns,6.597334926071225
Dmitry Orlov,3.175624346908371
Aaron Ekblad,1.4082102967642753
Ivan Provorov,1.3969692949931
Brock Boeser,4.389974505940923
Claude Giroux,7.295075603324523
Jeff Petry,2.302065379621393
Brad Marchand,7.02361588780564
Nikolaj Ehlers,10.584462835467525
Brock Nelson,11.362336422430126
Taylor Hall,1.2603273362878311
Neal Pionk,2.075869300083163
Vladislav Gavrikov,6.327819895351901
Andrew Mangiapane,4.072242463896654
Andrei Kuzmenko,12.939525035747378
Yanni Gourde,5.395326353468798
Kyle Palmieri,4.595486253846017
Mikael Granlund,-1.7584146147610515
Reilly Smith,7.750085623336156
Jason Zucker,5.977609430227761
Jakob Chychrun,7.51976839009739
Ryan Lindgren,0.9064199861317945
Christian Dvorak,-0.13157203241762794
Sam Bennett,4.970627988829248
Andreas Athanasiou,-0.13197388998107717
Noah Dobson,9.248127437545932
Alex Iafallo,10.188734622630388
Robby Fabbri,-7.085374426417294
Patrick Kane,1.334995454360394
Alec Martinez,3.6088744466081213
Evan Bouchard,15.5254241433163
K'Andre Miller,4.881709644304072
Bowen Byram,2.3255678095628367
Brandon Tanev,0.03970502489696459
David Savard,-5.786446242841462
Anthony Mantha,7.633799847082834
Joel Armia,-0.06673305803279295
Radek Faksa,1.5623325751767603
Cody Ceci,-2.0118832621321805
Gustav Nyquist,-0.5799224208457412
Brian Dumoulin,2.526241789353961
Brian Dumoulin,2.526241789353961
Henri Jokiharju,2.6148522053953336
Ian Cole,0.8983500156306023
Jordan Greenway,1.968247524565018
Olli Maatta,6.204181781377326
Matt Duchene,12.048533231287403
Jeff Skinner,3.3573238955471254
Jack Roslovic,2.3335839498746553
Luke Kunin,-5.489340437634038
Jan Rutta,-1.4003648818814018
William Borgen,1.4809836765625277
Tanner Jeannot,-0.6201677301618167
Noah Cates,6.569970307088008
Dante Fabbro,4.794955319313498
Sean Kuraly,0.5216839389803494
Cody Glass,3.959540250929627
Jonathan Drouin,8.147076069610765
Lars Eller,1.4491189173202672
Kaapo Kakko,1.817089534480901
Trent Frederic,2.7128121233715943
Nicolas Hague,0.8309357074517394
Philipp Kurashev,-0.7841245172541873
Mason Appleton,-0.681826832615684
Nick Bjugstad,1.9406142136611397
Klim Kostin,-0.20647788029610448
Marcus Johansson,3.9176186717475723
Nico Sturm,0.5360505959981825
Morgan Geekie,11.41196520308011
Ryan Donato,3.876157784555069
Vladislav Namestnikov,7.080101262210478
Tomas Tatar,4.428672811337703
Marco Rossi,7.347730941726482
