"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"Adrian Kempe","23-24","L.A","R",77,1457.9,7.7,-1.3,1.9,1.3,-0.4,1.7,9.6,0,1.2,10.9,1.8,3.5
"Akil Thomas","23-24","L.A","C",7,60.9,1.5,0.2,0,0,-0.1,0.6,1.5,0.2,0.6,2.2,0.4,0.7
"Alec Martinez","23-24","VGK","D",55,1047.4,4.5,0.8,1,-0.1,1.7,-0.2,5.5,0.6,1.4,7.5,1.2,2.4
"Aleksander Barkov","23-24","FLA","C",73,1433.5,10.8,5.7,3,1.3,1.1,-0.3,13.8,7,0.8,21.6,3.5,6.9
"Alex Alexeyev","23-24","WSH","D",39,534.1,-2.3,5.1,0,0.4,0.5,-0.6,-2.3,5.5,-0.1,3.1,0.5,1
"Alex Barabanov","23-24","S.J","L",46,730.1,-1.1,-2.1,-1.5,0,0.6,-0.6,-2.6,-2.1,-0.1,-4.8,-0.8,-1.5
"Alex Barre-Boulet","23-24","T.B","C",36,402.8,-2.2,-3.2,0.6,0,-0.1,0.3,-1.6,-3.2,0.2,-4.6,-0.8,-1.5
"Alex Carrier","23-24","NSH","D",73,1372.4,-0.3,3.9,1.2,1,-1.1,1.1,0.9,4.8,0,5.7,0.9,1.8
"Alex Debrincat","23-24","DET","R",82,1467.2,12.1,-1.5,2.2,0,1.7,0.5,14.3,-1.6,2.2,14.9,2.4,4.7
"Alex Goligoski","23-24","MIN","D",36,533.1,-1,-1.1,-0.1,0,-0.2,0,-1.1,-1.1,-0.3,-2.5,-0.4,-0.8
"Alex Holtz","23-24","N.J","R",82,954,1.2,-2.3,-0.1,0,0.5,-1.5,1.1,-2.3,-1,-2.2,-0.4,-0.7
"Alex Iafallo","23-24","WPG","L",82,1255.7,-1.8,6.3,0.1,0.4,2.2,-0.8,-1.8,6.8,1.5,6.5,1.1,2.1
"Alex Kerfoot","23-24","ARI","C",82,1429.6,3.4,0.9,-0.3,-4.7,1,0,3.1,-3.8,1.1,0.4,0.1,0.1
"Alex Killorn","23-24","ANA","C/L",63,1180.1,3.9,-1.4,-1.1,1.3,-1.1,-0.5,2.8,0,-1.6,1.2,0.2,0.4
"Alex Laferriere","23-24","L.A","R",81,1070.8,-1.6,-1.8,0.4,0,-0.4,0.2,-1.2,-1.8,-0.2,-3.2,-0.5,-1
"Alex Newhook","23-24","MTL","C",55,931,7.2,-3.3,-1.2,0,0.7,-0.6,6,-3.3,0.1,2.7,0.4,0.9
"Alex Nylander","23-24","CBJ","L",23,385.6,4.5,-3,0.1,0,0.3,-0.4,4.6,-3,-0.1,1.5,0.2,0.5
"Alex Nylander","23-24","PIT","L",5,69.4,-0.7,-0.1,-0.3,0,0.2,0,-1,-0.1,0.2,-0.9,-0.2,-0.3
"Alex Ovechkin","23-24","WSH","L",79,1518.5,3.2,-8.7,2.8,0,1.1,-0.8,6,-8.7,0.3,-2.3,-0.4,-0.7
"Alex Pietrangelo","23-24","VGK","D",64,1508.2,8.2,-3.2,0.7,-1,2.4,0.4,8.9,-4.2,2.8,7.5,1.2,2.4
"Alex Romanov","23-24","NYI","D",81,1688.1,3.2,-0.2,0,-4,2.6,-0.6,3.2,-4.1,2,1,0.2,0.3
"Alex Texier","23-24","CBJ","C",78,1184.1,0.4,-6.1,0.6,-1.2,-0.7,-0.9,1,-7.2,-1.6,-7.9,-1.3,-2.5
"Alex Tuch","23-24","BUF","R",75,1462.8,8.3,-3.3,1.7,0.5,0.2,-0.8,10,-2.8,-0.6,6.6,1.1,2.1
"Alex Turcotte","23-24","L.A","C",20,185.6,2.2,1.2,0,0,-0.1,0.2,2.2,1.2,0.1,3.5,0.6,1.1
"Alex Vlasic","23-24","CHI","D",76,1632.4,3.6,8.1,0.4,2.3,2,-0.7,4,10.4,1.4,15.7,2.6,5
"Alex Wennberg","23-24","NYR","C",19,292,0.2,0.4,0.4,0.2,0.7,-0.1,0.5,0.6,0.6,1.7,0.3,0.5
"Alex Wennberg","23-24","SEA","C",60,1129.1,6.4,2.2,2.9,-6.1,1.3,0.8,9.3,-3.9,2.1,7.5,1.2,2.4
"Alexei Toropchenko","23-24","STL","R",82,1026.8,-2,-2,0,0.3,-0.1,0.7,-2,-1.7,0.6,-3.1,-0.5,-1
"Alexis Lafrenière","23-24","NYR","L",82,1415.9,10.3,-3.9,-0.1,0,0.9,1.3,10.2,-3.9,2.1,8.5,1.4,2.7
"Aliaksei Protas","23-24","WSH","C",78,1072.2,6.5,1.2,0.5,1.2,1.7,-0.4,7.1,2.4,1.3,10.7,1.8,3.4
"Anders Lee","23-24","NYI","L",81,1260.9,6,3.5,0.3,0,-0.8,-0.6,6.3,3.5,-1.5,8.3,1.4,2.7
"Andre Burakovsky","23-24","SEA","L",49,713.7,-3.7,-1.1,1.5,0,0.4,-0.1,-2.2,-1.1,0.3,-3,-0.5,-1
"Andreas Athanasiou","23-24","CHI","C",28,366.7,0.5,-1.9,-0.1,0,0.6,0.3,0.5,-1.9,1,-0.5,-0.1,-0.2
"Andreas Englund","23-24","L.A","D",82,1084.2,-3.5,-1.1,0,0.2,0.6,0.8,-3.4,-0.9,1.4,-3,-0.5,-1
"Andrei Kuzmenko","23-24","CGY","L",29,454.6,1.2,-0.4,7,0,0.5,0,8.2,-0.4,0.5,8.3,1.4,2.6
"Andrei Kuzmenko","23-24","VAN","L",43,617.1,5.2,-1.3,1.7,0,0.8,0.4,6.9,-1.3,1.2,6.8,1.1,2.2
"Andrei Svechnikov","23-24","CAR","R",59,1001,4.2,-2.9,3.6,0,-3,0.7,7.7,-2.9,-2.3,2.5,0.4,0.8
"Andrew Cogliano","23-24","COL","C",75,795.7,1,2.3,0,-2.8,0.3,1.5,1,-0.5,1.8,2.3,0.4,0.7
"Andrew Copp","23-24","DET","C",79,1285.7,5.2,0.6,0.2,-3.2,0.8,-0.6,5.4,-2.6,0.2,2.9,0.5,0.9
"Andrew Mangiapane","23-24","CGY","L",75,1199.7,8.1,-0.6,0.2,-1.4,0.2,-0.9,8.4,-2,-0.7,5.7,0.9,1.8
"Andrew Peeke","23-24","BOS","D",15,264.1,-0.2,0.8,0,-1.7,0,-0.1,-0.2,-0.9,-0.1,-1.2,-0.2,-0.4
"Andrew Peeke","23-24","CBJ","D",23,359,2,-1.2,0,0.3,0.3,-0.2,2,-0.9,0.1,1.1,0.2,0.4
"Angus Crookshank","23-24","OTT","L",13,131.5,0.6,0.8,0,0,0.1,0.1,0.6,0.8,0.3,1.6,0.3,0.5
"Anthony Beauvillier","23-24","CHI","L",23,330.3,-0.3,-1.1,-0.5,0,0.6,-0.5,-0.8,-1.1,0.1,-1.8,-0.3,-0.6
"Anthony Beauvillier","23-24","NSH","L",15,184.2,-0.9,0.7,0.4,0,0.2,0.4,-0.5,0.7,0.6,0.8,0.1,0.2
"Anthony Beauvillier","23-24","VAN","L",22,300.4,-0.8,-0.5,0.9,0,0.3,-0.6,0,-0.5,-0.3,-0.7,-0.1,-0.2
"Anthony Cirelli","23-24","T.B","C",79,1463.6,4.2,2.5,0.3,-1.7,1.9,0.8,4.5,0.8,2.7,8,1.3,2.5
"Anthony Duclair","23-24","S.J","L",56,905.8,3.3,-0.2,3.3,-0.1,0.4,0.4,6.5,-0.3,0.8,7,1.1,2.2
"Anthony Duclair","23-24","T.B","L",17,245.7,4.8,0,1.1,0,0.2,-0.4,5.9,0,-0.1,5.7,0.9,1.8
"Anthony Mantha","23-24","VGK","R",18,260,3.3,2,-1.1,0,-0.2,-0.5,2.1,2,-0.7,3.4,0.6,1.1
"Anthony Mantha","23-24","WSH","R",56,792.6,8.9,2.9,2.2,0,1,-0.8,11.1,2.9,0.2,14.2,2.3,4.5
"Anthony Richard","23-24","BOS","C",9,95.5,0.3,-1.5,0,0,0,-0.2,0.3,-1.5,-0.2,-1.4,-0.2,-0.4
"Anton Lundell","23-24","FLA","C",78,1199.3,1,-2.9,-1.1,2.3,-0.3,0.2,-0.1,-0.5,0,-0.7,-0.1,-0.2
"Anze Kopitar","23-24","L.A","C",81,1592.3,7.6,2.4,2,-2.1,2.6,-1,9.6,0.3,1.6,11.5,1.9,3.7
"Arber Xhekaj","23-24","MTL","D",44,700.8,4.2,-0.5,-0.1,-0.7,-1.1,-0.2,4.1,-1.2,-1.3,1.6,0.3,0.5
"Arshdeep Bains","23-24","VAN","L",8,94.4,-2.4,-0.4,0,0,-0.3,0.3,-2.4,-0.4,0,-2.8,-0.5,-0.9
"Artem Zub","23-24","OTT","D",69,1450.2,3,4.5,-0.1,1.2,0.2,-0.3,2.9,5.8,-0.1,8.5,1.4,2.7
"Artemi Panarin","23-24","NYR","L",82,1649.8,11.1,-1.1,5.3,0,1.7,0.5,16.4,-1.1,2.3,17.6,2.9,5.6
"Arthur Kaliyev","23-24","L.A","R",51,601.9,1.6,0.6,0.8,0,-0.1,-0.7,2.4,0.6,-0.8,2.3,0.4,0.7
"Artturi Lehkonen","23-24","COL","L",45,831.2,9.2,5,-0.1,-0.6,0.6,-0.8,9.1,4.4,-0.2,13.3,2.2,4.2
"Austin Czarnik","23-24","DET","C",34,286.9,-1.3,1.2,0,0,-0.4,-0.4,-1.3,1.1,-0.9,-1.1,-0.2,-0.3
"Austin Watson","23-24","T.B","L",33,239.7,0.1,0.6,0,0,-0.7,-0.2,0.1,0.7,-0.9,-0.1,0,0
"Auston Matthews","23-24","TOR","C",81,1698.3,19.3,3.5,5.3,1.5,2.9,0,24.6,5,3,32.6,5.3,10.4
"Axel Jonsson-Fjallby","23-24","WPG","L",26,210.9,0.2,0.4,0,-0.1,0.5,-0.3,0.2,0.3,0.2,0.7,0.1,0.2
"Barclay Goodrow","23-24","NYR","C",80,1005.1,-2,-2.8,0.1,3,-0.2,-0.7,-1.9,0.2,-1,-2.7,-0.4,-0.9
"Barrett Hayton","23-24","ARI","C",33,561.5,-0.8,1.2,2.7,-1,0,0.7,2,0.1,0.7,2.9,0.5,0.9
"Beck Malenstyn","23-24","WSH","L",81,1153.7,4.7,-1.1,0,-1.2,1,0.8,4.7,-2.2,1.8,4.3,0.7,1.4
"Ben Chiarot","23-24","DET","D",77,1522.9,4,2.5,-0.1,-1.4,0.1,-0.7,3.9,1.1,-0.6,4.4,0.7,1.4
"Ben Hutton","23-24","VGK","D",41,666.6,3.7,3.4,0.2,0,0.6,-0.2,3.9,3.4,0.4,7.7,1.3,2.5
"Ben Meyers","23-24","ANA","C",14,146.5,-0.8,0.6,0,-0.2,-0.2,-0.1,-0.8,0.4,-0.3,-0.7,-0.1,-0.2
"Ben Meyers","23-24","COL","C",9,86,-0.7,1.3,0,0,0.2,-0.2,-0.7,1.2,0,0.5,0.1,0.2
"Benoit-Olivier Groulx","23-24","ANA","C",45,548.5,-4.2,-0.9,0,-1,-0.3,-1,-4.2,-1.9,-1.3,-7.5,-1.2,-2.4
"Blake Coleman","23-24","CGY","C",78,1336.4,5.8,0.7,-0.4,0.9,-1.8,0.9,5.4,1.6,-0.9,6.2,1,2
"Blake Lizotte","23-24","L.A","C",62,732.9,0.6,1.4,0,0.7,0.4,0.3,0.6,2.1,0.7,3.4,0.6,1.1
"Blake Wheeler","23-24","NYR","R",54,686.8,1.3,-1.8,-0.5,0,0.2,-1,0.8,-1.8,-0.9,-1.9,-0.3,-0.6
"Bo Horvat","23-24","NYI","C",81,1595.2,12.7,-1,3.1,-1,1.3,-1.2,15.8,-2,0.1,13.8,2.3,4.4
"Bobby Brink","23-24","PHI","R",57,785.7,2.7,-1.3,-2.4,0,1,0.9,0.2,-1.3,1.9,0.8,0.1,0.3
"Bobby McMann","23-24","TOR","C",56,647.3,5.1,2.1,-0.3,0.2,-0.4,0,4.8,2.2,-0.5,6.5,1.1,2.1
"Boone Jenner","23-24","CBJ","C",58,1165.6,2.3,0.2,-2.3,-0.2,0.1,-0.3,0.1,0,-0.2,-0.2,0,0
"Boris Katchouk","23-24","CHI","L",38,473.3,0.2,0.1,0,-0.3,-0.2,-0.1,0.2,-0.3,-0.3,-0.4,-0.1,-0.1
"Boris Katchouk","23-24","OTT","L",21,204,-0.5,1.9,0,0,0.5,-0.4,-0.5,1.9,0,1.4,0.2,0.4
"Bowen Byram","23-24","BUF","D",18,393.3,1.1,-5.5,-0.2,0.5,0.2,-0.2,0.8,-5,0,-4.1,-0.7,-1.3
"Bowen Byram","23-24","COL","D",55,1091.7,2,-0.9,-2.1,1.1,-0.8,-0.3,-0.1,0.1,-1,-1,-0.2,-0.3
"Brad Marchand","23-24","BOS","L",82,1566.3,7.3,0.5,2.6,0.4,-0.9,4,9.9,0.9,3.1,13.9,2.3,4.4
"Braden Schneider","23-24","NYR","D",82,1304,3.3,0.9,0,1.6,1.6,-0.5,3.3,2.5,1.1,6.9,1.1,2.2
"Brady Skjei","23-24","CAR","D",80,1702.2,0.1,0.9,4.7,1.6,0.2,0.6,4.7,2.5,0.7,8,1.3,2.5
"Brady Tkachuk","23-24","OTT","L",81,1550.5,11.8,-1.9,2,-0.1,0.1,2.2,13.8,-2,2.4,14.2,2.3,4.5
"Brandon Biro","23-24","BUF","L",5,54.2,0.3,-0.4,0,0,0.1,-0.1,0.3,-0.5,0,-0.1,0,0
"Brandon Carlo","23-24","BOS","D",76,1512.7,4.3,0.7,0,0.2,0,-0.9,4.3,0.9,-0.9,4.3,0.7,1.4
"Brandon Duhaime","23-24","COL","R",18,206.5,2.7,-1.3,0,0.7,0.1,-0.2,2.7,-0.6,-0.2,1.9,0.3,0.6
"Brandon Duhaime","23-24","MIN","R",62,662.3,-0.1,0.1,0,0,0.1,0.6,-0.1,0.1,0.7,0.7,0.1,0.2
"Brandon Gignac","23-24","MTL","C",7,81.5,-0.9,0.2,0,-0.6,0.2,0,-0.9,-0.4,0.2,-1.1,-0.2,-0.4
"Brandon Hagel","23-24","T.B","L",82,1579,13.2,3.1,2.6,1.2,-0.6,1.5,15.9,4.3,1,21.2,3.5,6.7
"Brandon Montour","23-24","FLA","D",66,1547.5,-1.5,2.3,3.1,1.4,1.2,-0.2,1.7,3.6,1,6.3,1,2
"Brandon Saad","23-24","STL","L",82,1271.2,8.4,-4.1,-0.4,1.1,1.4,-0.6,8,-3.1,0.8,5.6,0.9,1.8
"Brandon Tanev","23-24","SEA","L",66,962.8,-0.6,-0.5,0,1.1,0,0.4,-0.6,0.6,0.4,0.4,0.1,0.1
"Brandt Clarke","23-24","L.A","D",16,218.4,-1.8,-1.8,1,0,-0.5,0.1,-0.7,-1.8,-0.3,-2.9,-0.5,-0.9
"Brayden McNabb","23-24","VGK","D",82,1587,1.9,0.8,0,0.3,0.6,-0.4,1.9,1.1,0.2,3.1,0.5,1
"Brayden Pachal","23-24","CGY","D",33,485.5,-0.2,1.6,0,0.8,-0.6,0.5,-0.2,2.5,-0.1,2.2,0.4,0.7
"Brayden Pachal","23-24","VGK","D",17,248.3,-2.7,-1.7,0,0,-0.4,0.1,-2.7,-1.7,-0.2,-4.6,-0.8,-1.5
"Brayden Point","23-24","T.B","C",81,1622,11.2,-3.9,5.2,0,2.5,-0.8,16.4,-3.9,1.7,14.2,2.3,4.5
"Brayden Schenn","23-24","STL","C",82,1458,5.8,-1.2,0.7,-3.1,0.2,-0.5,6.5,-4.3,-0.3,1.9,0.3,0.6
"Brendan Brisson","23-24","VGK","C",15,185.1,2.6,-0.1,0.2,0,0.4,-0.4,2.7,-0.1,0,2.7,0.4,0.9
"Brendan Gallagher","23-24","MTL","R",77,1061.9,1.2,-1.7,-1,0,-1.4,0.1,0.3,-1.7,-1.2,-2.7,-0.4,-0.8
"Brendan Gaunce","23-24","CBJ","C",24,281.9,-1.8,0.5,0,-0.1,0.1,-0.6,-1.8,0.4,-0.5,-1.9,-0.3,-0.6
"Brendan Lemieux","23-24","CAR","L",32,256.2,1.5,-2.2,0,0,-0.5,-0.2,1.5,-2.2,-0.7,-1.4,-0.2,-0.4
"Brendan Smith","23-24","N.J","D",63,1014.3,4.6,1.1,0,2.9,-1.2,0.3,4.6,4,-0.9,7.7,1.3,2.4
"Brenden Dillon","23-24","WPG","D",77,1443.1,1.4,0.7,-0.3,-0.3,-0.1,-1.1,1.1,0.5,-1.2,0.4,0.1,0.1
"Brent Burns","23-24","CAR","D",82,1763.1,7.2,2.2,3.4,0.3,2.3,-0.9,10.6,2.5,1.4,14.5,2.4,4.6
"Brett Howden","23-24","VGK","C",72,952.4,1.1,-4.8,0.1,-1.8,0.3,-0.1,1.2,-6.6,0.2,-5.2,-0.9,-1.7
"Brett Kulak","23-24","EDM","D",82,1261.5,1,2.3,0.3,0.3,0.3,-0.6,1.3,2.6,-0.3,3.6,0.6,1.1
"Brett Leason","23-24","ANA","R",68,884.6,0.2,0.2,-0.1,-0.1,0.7,-1.2,0.1,0.1,-0.4,-0.2,0,-0.1
"Brett Pesce","23-24","CAR","D",70,1419.4,1.1,0.3,-0.1,1.4,1.2,-0.2,1,1.6,1,3.6,0.6,1.1
"Brian Dumoulin","23-24","SEA","D",80,1361.2,-2.1,7.1,-0.2,0.1,1.1,0,-2.2,7.2,1.1,6.1,1,1.9
"Brock Boeser","23-24","VAN","R",81,1506.8,8.2,-3.2,4.5,0,1.8,-2.2,12.7,-3.2,-0.4,9.2,1.5,2.9
"Brock Faber","23-24","MIN","D",82,2047.9,4.7,3.2,1.7,0,2.7,-1.5,6.4,3.2,1.1,10.7,1.8,3.4
"Brock McGinn","23-24","ANA","L",24,265.9,0.1,-0.2,0,0.2,0.2,0.1,0.1,0,0.4,0.5,0.1,0.2
"Brock Nelson","23-24","NYI","C",82,1482.8,10.2,-3.6,3.2,0,1.1,0.4,13.4,-3.6,1.5,11.3,1.9,3.6
"Bryan Rust","23-24","PIT","R",62,1213.8,12.8,-2.4,-1,0.5,1.4,-1.1,11.8,-2,0.3,10.2,1.7,3.2
"Byron Froese","23-24","VGK","C",16,170.7,-0.5,0.8,0,-0.1,0,0,-0.5,0.8,0.1,0.3,0,0.1
"Cal Clutterbuck","23-24","NYI","R",82,974.1,2.3,2,0,0.8,0.3,0,2.3,2.9,0.2,5.4,0.9,1.7
"Cal Foote","23-24","N.J","D",4,59.1,1.2,-0.3,0,0.1,-0.5,0.1,1.2,-0.2,-0.4,0.6,0.1,0.2
"Cale Makar","23-24","COL","D",77,1907.3,3.3,2.9,5.9,-3,2.9,2.9,9.1,-0.2,5.8,14.7,2.4,4.7
"Caleb Jones","23-24","COL","D",25,305.2,-0.1,1.1,0,0,0,-0.1,0,1.1,-0.1,1,0.2,0.3
"Calen Addison","23-24","MIN","D",12,201.7,2.8,-1.2,-0.6,0,-0.2,0,2.2,-1.2,-0.2,0.9,0.1,0.3
"Calen Addison","23-24","S.J","D",60,1041.4,-4.6,-5.2,0.8,0,0.5,0.4,-3.8,-5.2,0.9,-8.1,-1.3,-2.6
"Calle Jarnkrok","23-24","TOR","C",52,793.4,5,-0.6,-0.1,-1.9,0.7,0,4.9,-2.5,0.7,3.1,0.5,1
"Calle Rosen","23-24","STL","D",6,76,-1.3,-0.8,0,0,0,-0.1,-1.3,-0.8,-0.1,-2.2,-0.4,-0.7
"Calvin De Haan","23-24","T.B","D",59,980.6,-2.4,2.5,0,0.6,0.6,-0.3,-2.4,3.2,0.3,1,0.2,0.3
"Cam Atkinson","23-24","PHI","R",70,1116.2,-1.6,-4.1,0.8,1,0.8,-0.2,-0.9,-3.1,0.7,-3.3,-0.5,-1
"Cam Fowler","23-24","ANA","D",81,1978.3,-7.4,0.4,1.6,-4.1,1.8,-1.3,-5.8,-3.7,0.5,-9,-1.5,-2.9
"Cam York","23-24","PHI","D",82,1855.8,-1,0.7,-2.4,1.1,0.3,0.6,-3.4,1.7,0.9,-0.7,-0.1,-0.2
"Carl Grundstrom","23-24","L.A","R",50,546.9,-1,-1,0.2,-0.7,0.3,-0.4,-0.8,-1.7,-0.1,-2.7,-0.4,-0.8
"Carson Meyer","23-24","CBJ","R",14,127.7,-0.5,-0.4,0,0,0.1,0.1,-0.5,-0.4,0.2,-0.7,-0.1,-0.2
"Carson Soucy","23-24","VAN","D",40,699.4,-3,3.7,0.5,0.7,0.6,0.6,-2.5,4.4,1.2,3,0.5,1
"Carter Verhaeghe","23-24","FLA","C",76,1365.2,11.2,-1.4,5,0,0.2,-1.8,16.2,-1.4,-1.6,13.2,2.2,4.2
"Casey Cizikas","23-24","NYI","C",70,975.9,0.7,2.3,0.1,-2.5,0.4,0,0.9,-0.2,0.3,1,0.2,0.3
"Casey Mittelstadt","23-24","BUF","C",62,1132.8,11.8,2.6,1,0.1,0.1,-1.6,12.9,2.7,-1.5,14.1,2.3,4.5
"Casey Mittelstadt","23-24","COL","C",18,285.6,1.3,-0.2,-0.3,0,0.3,-0.3,1.1,-0.2,0,0.9,0.1,0.3
"Chad Ruhwedel","23-24","NYR","D",5,70.7,-1.8,-0.3,0,0,0.2,-0.1,-1.8,-0.4,0.1,-2,-0.3,-0.6
"Chad Ruhwedel","23-24","PIT","D",47,589.8,-1.3,4,0,1.7,0.9,0,-1.3,5.7,0.9,5.2,0.9,1.7
"Chandler Stephenson","23-24","VGK","C",75,1386.3,0.8,-7.3,-1,-1.7,1.9,0.7,-0.1,-9.1,2.6,-6.6,-1.1,-2.1
"Charlie Coyle","23-24","BOS","C",82,1481.4,3.7,-2.9,1.5,-1.1,0.9,0.3,5.2,-3.9,1.2,2.5,0.4,0.8
"Charlie McAvoy","23-24","BOS","D",74,1838.6,6.9,2.7,-1.7,2,0.2,3,5.2,4.6,3.2,13,2.1,4.1
"Chris Kreider","23-24","NYR","L",82,1540.2,8.9,-2,5.4,-0.3,2,-1.9,14.3,-2.4,0.1,12,2,3.8
"Chris Tanev","23-24","CGY","D",56,1111,2.5,3.6,0,-1.2,0.9,-0.2,2.5,2.4,0.7,5.5,0.9,1.8
"Chris Tanev","23-24","DAL","D",19,365.3,-0.3,3.2,0,0.9,-0.1,0,-0.3,4.2,0,3.9,0.6,1.2
"Chris Tierney","23-24","N.J","C",52,469.3,1.2,1.6,0,0.5,0.5,-0.6,1.2,2.1,-0.1,3.1,0.5,1
"Chris Wagner","23-24","COL","R",13,96.9,0.5,-0.3,0,-0.2,-0.1,-0.2,0.5,-0.4,-0.3,-0.3,0,-0.1
"Christian Dvorak","23-24","MTL","C",30,465.9,-1.2,-1.4,0,-0.4,0.7,-0.8,-1.1,-1.8,-0.1,-3,-0.5,-1
"Christian Fischer","23-24","DET","R",79,901.1,0.9,0,0,1.6,0.2,0.3,0.9,1.6,0.5,3,0.5,1
"Claude Giroux","23-24","OTT","R",82,1647.6,4.3,-1.4,1.1,-1.2,1.3,1.6,5.4,-2.6,2.9,5.7,0.9,1.8
"Clayton Keller","23-24","ARI","R",78,1501.2,3.9,-2.5,1.1,0,1,1.3,5,-2.5,2.3,4.9,0.8,1.5
"Cody Ceci","23-24","EDM","D",79,1581.8,3.4,-1.4,0.1,-0.2,2.4,-1.3,3.6,-1.6,1.1,3.1,0.5,1
"Cody Glass","23-24","NSH","C",41,550.7,-1.2,-3.6,-4,0,-0.5,0.7,-5.2,-3.6,0.2,-8.6,-1.4,-2.7
"Cole Caufield","23-24","MTL","R",82,1592.5,9.2,-3,1.8,0,1.9,0.7,11,-3,2.6,10.6,1.7,3.4
"Cole Guttman","23-24","CHI","C",27,340.7,-0.5,-1.4,-0.6,0,0.8,0.2,-1.1,-1.5,1,-1.6,-0.3,-0.5
"Cole Koepke","23-24","T.B","L",9,60.3,0.8,0.1,0,0,0.1,0.3,0.8,0.1,0.4,1.4,0.2,0.4
"Cole Perfetti","23-24","WPG","C",71,964.8,4.6,3.8,2.1,0,1.3,-1.8,6.6,3.8,-0.5,9.9,1.6,3.1
"Cole Sillinger","23-24","CBJ","C",77,1241.2,3.2,-3.4,-0.9,-0.9,0.1,-1,2.4,-4.3,-0.9,-2.8,-0.5,-0.9
"Cole Smith","23-24","NSH","L",80,1095.2,0.6,0.7,0,-0.7,0.1,0.2,0.5,0,0.3,0.9,0.1,0.3
"Colin Blackwell","23-24","CHI","C",44,637.7,-2.8,1.3,0.5,-2.6,1.1,0.9,-2.2,-1.3,1.9,-1.6,-0.3,-0.5
"Colin Miller","23-24","N.J","D",41,652.6,4.2,0.8,-0.2,0.7,-0.5,0.5,3.9,1.4,0.1,5.4,0.9,1.7
"Colin Miller","23-24","WPG","D",5,69.8,-1.7,-1.1,0,0,0,-0.1,-1.6,-1.1,-0.1,-2.9,-0.5,-0.9
"Colin White (C)","23-24","MTL","C",17,157.2,-2.1,0.1,0,-0.2,0.2,-0.1,-2.1,-0.1,0,-2.2,-0.4,-0.7
"Colin White (C)","23-24","PIT","C",11,109.4,-0.7,0.2,0,0,0.1,-0.1,-0.7,0.2,0,-0.5,-0.1,-0.2
"Collin Graf","23-24","S.J","R",7,116.2,-0.3,-0.7,-0.1,0,0.3,-0.1,-0.4,-0.7,0.2,-0.9,-0.1,-0.3
"Colton Parayko","23-24","STL","D",82,1956.6,0,5.7,-0.1,-2.8,2.6,-1,-0.1,2.9,1.6,4.4,0.7,1.4
"Colton Sissons","23-24","NSH","C",81,1342.5,1.4,-1,1.7,-6,-0.2,0,3.1,-7,-0.2,-4.1,-0.7,-1.3
