"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"A.J. Greer","23-24","CGY","L",59,521.1,-1.3,0.3,0.1,0.1,-0.3,0.2,-1.2,0.4,-0.1,-1,-0.2,-0.3
"Aaron Ekblad","23-24","FLA","D",51,1064,-0.8,2.1,1.6,0.8,-0.9,-0.7,0.8,2.9,-1.6,2,0.3,0.6
"Adam Beckman","23-24","MIN","L",11,103.5,-1.3,-0.8,0,0,0,0.1,-1.3,-0.8,0.2,-1.8,-0.3,-0.6
"Adam Boqvist","23-24","CBJ","D",35,639.9,1.1,-4.8,-1.5,0,1.4,0,-0.4,-4.8,1.4,-3.8,-0.6,-1.2
"Adam Edstrom","23-24","NYR","C",11,92.5,0.2,-0.5,0,0,0,0.3,0.2,-0.5,0.4,0.1,0,0
"Adam Erne","23-24","EDM","L",24,187.7,0.5,0.2,0,0.1,0,-0.2,0.5,0.2,-0.2,0.5,0.1,0.2
"Adam Fantilli","23-24","CBJ","C",49,769.8,2.1,-1.4,-2,0,0.7,0.2,0.1,-1.4,0.9,-0.4,-0.1,-0.1
"Adam Fox","23-24","NYR","D",72,1687.9,4.4,3.4,4,3.6,0.2,2.9,8.4,7,3.1,18.5,3,5.9
"Adam Ginning","23-24","PHI","D",9,127.4,-0.5,-0.7,0,0.2,0.3,-0.1,-0.5,-0.5,0.1,-0.9,-0.1,-0.3
"Adam Henrique","23-24","ANA","C",60,1055.5,4.9,-1.3,4,0.1,1.1,-1.1,8.9,-1.2,0,7.6,1.2,2.4
"Adam Henrique","23-24","EDM","C",22,326.2,3.4,-0.9,-0.1,0,0.4,0,3.3,-0.9,0.4,2.9,0.5,0.9
"Adam Larsson","23-24","SEA","D",81,1858.6,-0.4,-2.2,-0.1,-1.6,0.2,-0.1,-0.5,-3.9,0.1,-4.3,-0.7,-1.4
"Adam Lowry","23-24","WPG","C",81,1304.4,1.1,3.2,-0.2,0.8,1.4,-0.5,0.9,4,0.9,5.8,0.9,1.8
"Adam Pelech","23-24","NYI","D",58,1176.6,1.3,4.8,0,2,0.6,0.6,1.3,6.7,1.2,9.2,1.5,2.9
"Adam Ruzicka","23-24","CGY","C",39,396.3,-1.6,0.1,-0.9,0,0.3,0.3,-2.5,0.1,0.7,-1.8,-0.3,-0.6
