"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"A.J. Greer","24-25","FLA","L",81,777,0.2,0.1,0.2,-0.6,-2.5,0.9,0.4,-0.5,-1.6,-1.7,-0.3,-0.5
"Aaron Ekblad","24-25","FLA","D",56,1316.7,2.4,-3,2.8,-0.6,-1.1,0.7,5.2,-3.6,-0.4,1.2,0.2,0.4
"Aatu Raty","24-25","VAN","C",32,337.9,2.6,0.1,0.1,0,-0.6,0.3,2.7,0.1,-0.3,2.5,0.4,0.8
"Adam Boqvist","24-25","FLA","D",18,231.2,0.7,-3.3,1.3,0,-0.1,-0.2,2,-3.3,-0.4,-1.6,-0.3,-0.5
"Adam Boqvist","24-25","NYI","D",16,242,1.2,0.5,0.5,0,0.1,-0.1,1.7,0.5,0.1,2.2,0.4,0.7
"Adam Edstrom","24-25","NYR","C",51,473,0.8,0.8,0,0,0.2,0.2,0.8,0.8,0.4,1.9,0.3,0.6
"Adam Fantilli","24-25","CBJ","C",81,1414,5.5,-4.1,-2.3,0.4,1.3,1,3.2,-3.7,2.3,1.8,0.3,0.6
"Adam Fox","24-25","NYR","D",73,1698.9,11.3,3.7,1.5,-1.7,0.4,0.8,12.7,2,1.1,15.9,2.6,4.9
"Adam Gaudette","24-25","OTT","R",80,827.2,5.9,1.7,-1.6,-0.1,0.6,-1,4.3,1.6,-0.4,5.5,0.9,1.7
"Adam Henrique","24-25","EDM","C",80,1169.4,1.5,-1.7,0.2,0.4,1.2,-1.7,1.7,-1.3,-0.4,-0.1,0,0
"Adam Klapka","24-25","CGY","R",30,288.6,2.2,1.7,-0.1,0,-0.5,0,2.1,1.7,-0.5,3.3,0.5,1
"Adam Larsson","24-25","SEA","D",82,1737.2,10.6,-3.3,-0.1,-1.3,1,-1.3,10.5,-4.6,-0.3,5.6,0.9,1.7
"Adam Lowry","24-25","WPG","C",72,1113.3,3.1,1.5,0,-1.7,1.7,-0.8,3.1,-0.2,0.9,3.8,0.6,1.2
"Adam Pelech","24-25","NYI","D",60,1267.8,-1.8,10.4,0,-2.6,-0.2,-0.1,-1.8,7.7,-0.3,5.6,0.9,1.7
"Adam Wilsby","24-25","NSH","D",23,416.3,1.4,5,0,1.2,0.2,0.1,1.4,6.2,0.4,8,1.3,2.5
"Adrian Kempe","24-25","L.A","R",81,1551.6,12.4,-0.1,1.1,1.6,0.2,0.6,13.5,1.5,0.8,15.7,2.6,4.9
"Akil Thomas","24-25","L.A","C",24,237.4,-1.5,0.9,0,0,0.1,0,-1.5,0.9,0.1,-0.5,-0.1,-0.1
"Albert Johansson","24-25","DET","D",59,961.5,-2.1,0.7,0,0.3,0.5,0.5,-2,1,1,0,0,0
"Alec Martinez","24-25","CHI","D",44,824,1.3,-4,0.4,0.2,1,-0.8,1.7,-3.8,0.2,-1.9,-0.3,-0.6
"Aleksander Barkov","24-25","FLA","C",67,1357.3,2.1,6.4,3.8,-0.4,1.4,0.2,5.9,6,1.6,13.5,2.2,4.2
"Alex Alexeyev","24-25","WSH","D",7,105.1,0.4,0.3,0,0,0.2,-0.1,0.4,0.4,0.1,0.8,0.1,0.3
"Alex Carrier","24-25","MTL","D",50,1039.6,2.6,4.4,0,0.7,-0.6,-0.3,2.5,5,-0.9,6.7,1.1,2.1
"Alex Carrier","24-25","NSH","D",28,563.6,-1.2,-1.2,0,-0.8,0,1.2,-1.2,-2.1,1.3,-2,-0.3,-0.6
"Alex Debrincat","24-25","DET","R",80,1428.3,8.4,-1.6,4.8,0,0.9,1.8,13.2,-1.6,2.7,14.4,2.4,4.5
"Alex Holtz","24-25","VGK","R",52,601.2,-0.9,-3.1,-0.4,0,0.5,-0.5,-1.3,-3.1,-0.1,-4.5,-0.7,-1.4
"Alex Iafallo","24-25","WPG","L",81,1070.5,6,2.9,3,0.4,1.3,-0.4,9,3.3,0.9,13.2,2.2,4.1
