"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"Alex Kerfoot","24-25","UTA","C",81,1235.5,-1.9,0.5,-1.7,-0.8,0.9,0.8,-3.5,-0.3,1.7,-2.1,-0.4,-0.7
"Alex Killorn","24-25","ANA","L",81,1400.8,6,4,-2.5,2.3,0.1,-0.9,3.5,6.4,-0.8,9.1,1.5,2.8
"Alex Laferriere","24-25","L.A","R",76,1257.4,8.4,2.1,-1.2,0,1.1,-0.3,7.1,2.2,0.8,10.1,1.7,3.2
"Alex Newhook","24-25","MTL","C",81,1228.4,1.5,-0.4,0.7,0,0.4,-0.5,2.1,-0.5,-0.1,1.5,0.3,0.5
"Alex Ovechkin","24-25","WSH","L",64,1137,8.3,-7.3,1.4,0,0.9,-1.4,9.7,-7.3,-0.5,1.9,0.3,0.6
"Alex Petrovic","24-25","DAL","D",5,70.5,-0.6,0.3,0,0,-0.2,-0.1,-0.6,0.3,-0.3,-0.6,-0.1,-0.2
"Alex Pietrangelo","24-25","VGK","D",70,1568.3,2.8,-2.3,-1.8,0.3,1.9,-0.3,0.9,-2,1.6,0.5,0.1,0.2
"Alex Romanov","24-25","NYI","D",64,1427.6,1,0.2,0,1.8,1.3,0.3,1,2,1.6,4.7,0.8,1.5
"Alex Steeves","24-25","TOR","C",7,69.2,0.8,0.5,0,0,0.1,0,0.8,0.5,0.2,1.5,0.2,0.5
"Alex Texier","24-25","STL","C",31,387.1,0.4,-1.6,1.2,0,-0.1,0,1.6,-1.6,-0.1,-0.1,0,0
"Alex Tuch","24-25","BUF","R",81,1564.4,5.3,-0.6,1.1,0.2,0.4,-0.8,6.4,-0.3,-0.4,5.6,0.9,1.7
"Alex Turcotte","24-25","L.A","C",67,783.2,4.1,2.8,-1,0,-0.1,-0.1,3.1,2.8,-0.2,5.7,0.9,1.8
"Alex Vlasic","24-25","CHI","D",82,1907.6,3.2,-0.7,0.9,0.5,2.5,-0.6,4,-0.2,1.9,5.8,1,1.8
"Alex Wennberg","24-25","S.J","C",76,1433.2,3.2,-0.2,0.2,-3.8,1.7,1.2,3.4,-4,2.9,2.3,0.4,0.7
"Alexei Toropchenko","24-25","STL","R",80,999.4,-0.8,2.1,0,0.8,0.5,-0.2,-0.8,2.8,0.2,2.3,0.4,0.7
"Alexis Lafrenière","24-25","NYR","L",81,1382.1,7.9,-1.5,0.3,0,0.9,-0.9,8.1,-1.5,0,6.6,1.1,2.1
"Aliaksei Protas","24-25","WSH","C",76,1250.7,15.8,0.3,0.2,1.1,0.7,0.6,16,1.4,1.3,18.7,3.1,5.8
"Anders Lee","24-25","NYI","L",81,1381.4,11.9,-0.8,-1.1,0,0.7,-1.2,10.8,-0.8,-0.5,9.4,1.5,2.9
"Andre Burakovsky","24-25","SEA","L",79,1139.4,3.6,0,-0.4,0,1.2,0.5,3.2,0,1.7,4.9,0.8,1.5
"Andre Lee","24-25","L.A","L",19,173.7,-1.6,0.7,0,0,-0.2,0.4,-1.6,0.7,0.2,-0.6,-0.1,-0.2
"Andreas Athanasiou","24-25","CHI","C",8,80.2,0.9,-1.3,0,0,0,-0.1,0.9,-1.3,-0.2,-0.6,-0.1,-0.2
"Andreas Englund","24-25","L.A","D",11,113.8,-1.6,0.4,0,0.1,0,-0.1,-1.6,0.5,-0.1,-1.2,-0.2,-0.4
"Andreas Englund","24-25","NSH","D",23,332.8,-1.1,0.7,0,0,0.3,-0.1,-1.1,0.7,0.1,-0.3,0,-0.1
"Andrei Kuzmenko","24-25","CGY","L",37,548.3,-1.4,1.5,0.2,0,-0.2,0.6,-1.2,1.5,0.5,0.8,0.1,0.2
"Andrei Kuzmenko","24-25","L.A","L",21,346.5,5.3,1.1,2.3,0,0.3,0.4,7.6,1.1,0.8,9.5,1.6,3
"Andrei Kuzmenko","24-25","PHI","L",7,120,-0.5,-0.2,0.2,0,0.2,0.2,-0.4,-0.2,0.4,-0.1,0,0
"Andrei Svechnikov","24-25","CAR","R",70,1198.3,-1.2,-6.5,1.2,0,-1.4,2.1,0,-6.5,0.6,-5.9,-1,-1.8
"Andrew Copp","24-25","DET","C",56,823.3,2.9,-0.2,-0.5,1.7,1.3,-1,2.5,1.5,0.3,4.3,0.7,1.3
"Andrew Mangiapane","24-25","WSH","L",80,1041.2,-3.6,3.6,0.3,0.3,0.9,0.7,-3.3,3.9,1.5,2.1,0.3,0.7
"Andrew Peeke","24-25","BOS","D",76,1414.7,-3,6.7,-0.1,-1.1,1.9,-1,-3.1,5.6,0.9,3.4,0.6,1.1
"Angus Crookshank","24-25","OTT","L",8,78.7,0.2,0.8,0,0,0.2,0,0.2,0.8,0.2,1.3,0.2,0.4
"Anthony Beauvillier","24-25","PIT","L",63,819.2,3.6,1.5,-0.1,0.3,0.6,1.1,3.5,1.8,1.6,7,1.1,2.2
"Anthony Beauvillier","24-25","WSH","L",17,211.1,1.1,1.9,0,0,0.4,-0.2,1.1,1.9,0.3,3.3,0.5,1
"Anthony Cirelli","24-25","T.B","C",79,1482.5,8.9,6.4,2.3,-3.4,1.7,0.1,11.2,3,1.7,15.8,2.6,4.9
"Anthony Duclair","24-25","NYI","L",44,661.4,-3.9,-2.5,-0.5,0,0.8,0.2,-4.4,-2.5,1,-5.9,-1,-1.8
"Anthony Mantha","24-25","CGY","R",13,180.7,2.1,1.5,-0.2,0,0,-0.3,1.9,1.5,-0.3,3.1,0.5,0.9
"Anthony Richard","24-25","PHI","C",15,185.4,0.6,0.6,-0.2,0,0.4,0,0.4,0.6,0.4,1.4,0.2,0.4
"Anton Lundell","24-25","FLA","C",79,1320.3,6.3,2.2,-0.7,0.5,0.7,0.2,5.7,2.6,0.9,9.2,1.5,2.9
"Anze Kopitar","24-25","L.A","C",80,1519,5.6,-0.7,1.3,-2,3,-0.8,7,-2.7,2.2,6.5,1.1,2
"Arber Xhekaj","24-25","MTL","D",70,1023.7,-3.4,-3.8,0,-1.8,-1.6,0.3,-3.4,-5.5,-1.3,-10.3,-1.7,-3.2
"Arshdeep Bains","24-25","VAN","L",13,136.6,-1.1,-1,-0.2,0,0.3,-0.3,-1.3,-1,0,-2.3,-0.4,-0.7
"Artem Zub","24-25","OTT","D",56,1155.5,-0.5,8,0.1,0,-0.3,0.5,-0.3,7.9,0.2,7.8,1.3,2.4
"Artemi Panarin","24-25","NYR","L",79,1557.8,8.4,-2.6,1.4,0,1.7,-0.9,9.8,-2.6,0.8,7.9,1.3,2.5
"Arthur Kaliyev","24-25","NYR","R",14,156.9,0.9,1.2,-0.1,0,0.2,-0.3,0.9,1.2,-0.1,1.9,0.3,0.6
"Artturi Lehkonen","24-25","COL","L",69,1406.3,11.6,-0.4,-1.1,0.7,-0.6,-0.5,10.5,0.3,-1.1,9.8,1.6,3
"Artyom Levshunov","24-25","CHI","D",18,365.7,-1.9,-2,1,0,0,-0.3,-0.9,-2,-0.4,-3.2,-0.5,-1
"Austin Watson","24-25","DET","L",11,80.9,1.4,-0.8,0,0,0,-0.2,1.4,-0.8,-0.2,0.5,0.1,0.2
"Auston Matthews","24-25","TOR","C",66,1356,9.5,-1.1,1.1,-1.5,1.2,0.5,10.6,-2.6,1.6,9.7,1.6,3
"Barclay Goodrow","24-25","S.J","C",76,1049.3,-6.8,-2.8,-0.7,-1,-1.9,-0.4,-7.5,-3.8,-2.3,-13.6,-2.2,-4.2
"Barrett Hayton","24-25","UTA","C",82,1320.3,3.9,2.3,0.5,1.1,0.1,1,4.4,3.4,1.1,8.9,1.5,2.8
"Beck Malenstyn","24-25","BUF","L",76,800.2,-2,0.8,0,2.2,0.1,1.3,-2,3,1.4,2.4,0.4,0.7
"Ben Chiarot","24-25","DET","D",79,1681.2,-0.8,-3.2,0.1,-1.7,-0.3,0.3,-0.8,-4.9,-0.1,-5.7,-0.9,-1.8
"Ben Hutton","24-25","VGK","D",10,128.6,-1.3,0.7,0,0,0.3,-0.1,-1.3,0.7,0.1,-0.4,-0.1,-0.1
"Ben Jones","24-25","MIN","C",26,217.9,-1.2,-0.1,0,0,0.5,-0.1,-1.2,-0.1,0.4,-0.9,-0.1,-0.3
"Ben Meyers","24-25","SEA","C",8,66.8,-1,-0.5,0,0,-0.1,-0.1,-1,-0.5,-0.2,-1.6,-0.3,-0.5
"Blake Coleman","24-25","CGY","C/L",81,1433.3,1.2,1.3,-0.3,-1.5,-0.9,-0.6,0.9,-0.2,-1.5,-0.8,-0.1,-0.2
"Blake Lizotte","24-25","PIT","C",59,750.6,2.9,0.8,0,0.8,-0.6,-0.8,3,1.6,-1.5,3.1,0.5,1
"Bo Horvat","24-25","NYI","C",80,1616.3,7.6,-2.6,-0.7,-2.1,1.9,-1,6.8,-4.7,0.9,3,0.5,0.9
"Bobby Brink","24-25","PHI","R",78,1154.9,7.1,0.2,-0.6,0,0.3,-0.4,6.5,0.2,-0.1,6.6,1.1,2
"Bobby McMann","24-25","TOR","C",73,1057.1,8.6,-0.4,1.2,0,0.4,-0.3,9.8,-0.4,0.2,9.6,1.6,3
"Bokondji Imama","24-25","PIT","L",16,90.7,1.2,0.4,0,0,-0.2,-0.2,1.2,0.4,-0.4,1.2,0.2,0.4
"Boone Jenner","24-25","CBJ","C",25,452.4,5.6,-1.9,0.3,-1,0.6,0.4,5.9,-2.8,0.9,4,0.7,1.2
"Bowen Byram","24-25","BUF","D",81,1841.6,8.2,0.4,-1.4,-0.9,0.4,0.1,6.8,-0.5,0.5,6.9,1.1,2.1
"Brad Lambert","24-25","WPG","C",5,58,-0.5,0.1,-0.1,0,-0.1,-0.1,-0.6,0.1,-0.2,-0.6,-0.1,-0.2
"Brad Marchand","24-25","BOS","L",61,1125.7,2.8,-4.4,0.4,3.1,-1.1,2.4,3.2,-1.3,1.3,3.2,0.5,1
"Brad Marchand","24-25","FLA","L",10,176.2,0.1,-1.6,-0.9,0.1,0.2,-0.1,-0.8,-1.5,0.1,-2.2,-0.4,-0.7
"Braden Schneider","24-25","NYR","D",80,1429.3,2.1,0.6,0,2.2,1.5,-0.3,2.1,2.8,1.2,6.1,1,1.9
"Brady Skjei","24-25","NSH","D",81,1773.6,0,-10.1,1.8,0.1,-0.6,0.4,1.8,-10,-0.1,-8.3,-1.4,-2.6
"Brady Tkachuk","24-25","OTT","L",71,1302.5,5.3,3,2.5,0,-1.7,0.9,7.8,3,-0.8,10,1.6,3.1
"Brandon Carlo","24-25","BOS","D",63,1183.5,-2,-0.3,0,0.6,0.7,-0.4,-2.1,0.3,0.3,-1.5,-0.2,-0.5
"Brandon Carlo","24-25","TOR","D",19,365.7,0.6,3.5,0,-0.5,0,-0.3,0.6,3.1,-0.3,3.3,0.5,1
"Brandon Duhaime","24-25","WSH","R",81,1082.6,0.8,0.5,0,0,0.4,0,0.8,0.5,0.4,1.7,0.3,0.5
"Brandon Hagel","24-25","T.B","L",81,1686.3,10.6,3.5,2.3,-1.8,0.5,1.1,12.9,1.7,1.6,16.2,2.7,5
"Brandon Montour","24-25","SEA","D",81,1861.1,-0.6,-0.8,1.2,0.4,-1.1,0.9,0.6,-0.4,-0.1,0,0,0
"Brandon Saad","24-25","STL","L",43,627.7,-1.5,-0.9,0.8,0.2,0.8,-0.3,-0.7,-0.7,0.5,-0.9,-0.1,-0.3
"Brandon Saad","24-25","VGK","L",29,439.2,3.4,2.4,0.1,0.1,0.9,0.2,3.6,2.5,1.1,7.1,1.2,2.2
"Brandon Tanev","24-25","SEA","L",60,836.4,-2.7,-3.4,0,-1.4,1,0.6,-2.7,-4.9,1.6,-6,-1,-1.9
"Brandon Tanev","24-25","WPG","L",18,194.5,0.3,1.8,0,0.3,0,-0.4,0.3,2.1,-0.3,2.1,0.3,0.6
"Brandt Clarke","24-25","L.A","D",77,1250.4,9.5,-2.3,-0.4,0,-0.8,0.7,9.1,-2.3,-0.2,6.6,1.1,2.1
"Brayden McNabb","24-25","VGK","D",81,1632.2,4.6,5.3,0,2.1,0,-0.5,4.6,7.4,-0.4,11.6,1.9,3.6
"Brayden Pachal","24-25","CGY","D",75,1066.8,1.4,-2.6,0,-0.5,-1.6,0.5,1.4,-3.1,-1.1,-2.8,-0.5,-0.9
"Brayden Point","24-25","T.B","C",76,1487.1,13.5,-3.1,4.8,0,2.9,-0.6,18.3,-3.1,2.3,17.5,2.9,5.4
"Brayden Schenn","24-25","STL","C",82,1440,8.3,0.7,-0.4,-0.8,0.3,-1.6,7.9,-0.2,-1.3,6.4,1.1,2
"Brendan Brisson","24-25","VGK","C",9,88.8,-0.1,-0.8,0,0,0.2,-0.2,-0.1,-0.8,0,-0.9,-0.1,-0.3
"Brendan Gallagher","24-25","MTL","R",81,1123.8,4.5,-0.1,0,0,0.4,0.1,4.5,-0.1,0.4,4.8,0.8,1.5
"Brendan Gaunce","24-25","MIN","C",12,116.3,-1.6,-0.8,0,0,-0.1,-0.2,-1.6,-0.8,-0.4,-2.8,-0.5,-0.9
"Brendan Smith","24-25","DAL","D",31,407.2,-1.1,-1.1,0,0.3,-0.5,1.1,-1.1,-0.7,0.6,-1.2,-0.2,-0.4
"Brenden Dillon","24-25","N.J","D",81,1501.9,5.5,-3.3,0,-3.2,-0.8,-0.5,5.5,-6.4,-1.2,-2.1,-0.3,-0.7
"Brennan Othmann","24-25","NYR","L",21,207.8,2.7,0.5,-0.1,0,0.2,0.4,2.7,0.5,0.6,3.8,0.6,1.2
"Brent Burns","24-25","CAR","D",80,1702.5,6.5,-4.4,-2.7,1.8,0.4,-0.7,3.8,-2.6,-0.3,0.9,0.2,0.3
"Brett Berard","24-25","NYR","L",35,375,0,-3.1,0,0,0.1,0.6,-0.1,-3.1,0.7,-2.5,-0.4,-0.8
"Brett Howden","24-25","VGK","C",79,1169.8,5.5,-1.1,0,-0.7,0.1,0.1,5.6,-1.8,0.2,3.9,0.6,1.2
"Brett Kulak","24-25","EDM","D",81,1656,-2.3,4.1,0,0.6,1.6,-0.9,-2.3,4.8,0.8,3.2,0.5,1
"Brett Leason","24-25","ANA","R",61,794.4,2.7,-1.5,1,0.6,-0.5,-1,3.8,-0.9,-1.5,1.4,0.2,0.4
"Brett Pesce","24-25","N.J","D",72,1535,-3.1,3.1,-0.1,0.3,1.4,1,-3.2,3.3,2.4,2.6,0.4,0.8
"Brian Dumoulin","24-25","ANA","D",61,1207.3,-1.4,0.7,0,-0.9,1.7,0.7,-1.4,-0.2,2.4,0.7,0.1,0.2
"Brian Dumoulin","24-25","N.J","D",18,329.9,1,-0.6,0,-0.8,0.3,0,1,-1.5,0.3,-0.1,0,0
"Brock Boeser","24-25","VAN","R",74,1346.2,0.8,-2.3,2.8,0,1.7,-1.4,3.6,-2.3,0.3,1.7,0.3,0.5
"Brock Faber","24-25","MIN","D",78,1991,-5.4,-6,1.2,-2,2.2,-0.6,-4.3,-8,1.6,-10.6,-1.7,-3.3
"Brock McGinn","24-25","ANA","L",26,304.4,2.4,-0.3,0,-0.3,0.6,0.7,2.4,-0.6,1.3,3.1,0.5,0.9
"Brock Nelson","24-25","COL","C",19,332.4,1,1.1,0.4,0,0.3,-0.5,1.4,1.1,-0.2,2.3,0.4,0.7
"Brock Nelson","24-25","NYI","C",61,1180.7,7.9,-1.7,-0.7,-0.6,1.8,0.5,7.2,-2.4,2.2,7,1.2,2.2
"Bryan Rust","24-25","PIT","R",70,1384.7,9.4,-7.5,0,-1.6,1.4,-1,9.4,-9.1,0.4,0.7,0.1,0.2
"Cale Fleury","24-25","SEA","D",14,180.1,-0.3,2.2,0,0.2,0.4,0,-0.4,2.4,0.4,2.4,0.4,0.8
"Cale Makar","24-25","COL","D",80,2057.3,7,-0.4,2.4,-0.4,2.6,3.8,9.4,-0.9,6.3,14.9,2.4,4.6
"Caleb Jones","24-25","L.A","D",6,75.4,-1.2,0.4,0,0,0,0.1,-1.2,0.5,0.1,-0.7,-0.1,-0.2
"Callahan Burke","24-25","VGK","C",7,75.9,0.8,-1,0,0,0,-0.1,0.8,-1,-0.2,-0.4,-0.1,-0.1
"Calle Jarnkrok","24-25","TOR","C",18,236.1,-0.7,0.1,0.1,0.3,0.3,-0.3,-0.6,0.4,0,-0.2,0,-0.1
"Calum Ritchie","24-25","COL","C",7,89.5,-1,-0.3,0,0,0.2,-0.2,-1,-0.3,0,-1.3,-0.2,-0.4
"Calvin De Haan","24-25","COL","D",44,656.2,-1,1.9,0,0.5,0.1,0,-1,2.4,0.1,1.6,0.3,0.5
"Cam Atkinson","24-25","T.B","R",38,334,2.1,-3.2,-0.9,0,0.4,-0.1,1.3,-3.2,0.3,-1.7,-0.3,-0.5
"Cam Fowler","24-25","ANA","D",17,358,-1.4,-4.3,-0.1,-2.9,0.1,-0.1,-1.5,-7.2,-0.1,-8.7,-1.4,-2.7
"Cam Fowler","24-25","STL","D",51,1106.9,10.8,5.5,2.8,-1.7,1.6,-1.1,13.6,3.9,0.6,18,3,5.6
"Cam Lund","24-25","S.J","C",10,113.6,1,-1.9,0,0,-0.1,0,1,-1.9,-0.2,-1,-0.2,-0.3
"Cam York","24-25","PHI","D",65,1352.3,-0.4,6,-0.2,-1.5,0.4,-0.3,-0.6,4.5,0.1,4,0.7,1.3
"Carl Grundstrom","24-25","S.J","R",55,526,-0.3,1.2,0,-0.4,-0.8,-0.3,-0.3,0.7,-1.1,-0.6,-0.1,-0.2
"Carson Soucy","24-25","NYR","D",16,259.7,-0.4,1.5,0,0,0.2,-0.2,-0.4,1.5,0,1,0.2,0.3
"Carson Soucy","24-25","VAN","D",59,1084,-3.6,0.6,-0.4,-3.5,-0.3,-0.6,-3.9,-2.9,-0.9,-7.8,-1.3,-2.4
"Carter Verhaeghe","24-25","FLA","C",81,1447.4,4.2,-0.9,2.3,0,-0.4,-0.6,6.6,-0.9,-1,4.7,0.8,1.5
"Casey Cizikas","24-25","NYI","C",81,1053.7,-3.9,1.8,0,2.5,0,1.2,-3.9,4.3,1.2,1.6,0.3,0.5
"Casey Mittelstadt","24-25","BOS","C",18,311.2,-1.8,-1.7,-0.3,0,0.3,-0.6,-2.1,-1.7,-0.3,-4.1,-0.7,-1.3
"Casey Mittelstadt","24-25","COL","C",63,1071,5.5,-1.3,3,0,0.4,-0.8,8.5,-1.3,-0.5,6.7,1.1,2.1
"Chad Ruhwedel","24-25","NYR","D",5,70.5,0.6,-0.7,0,-0.1,0.1,-0.1,0.6,-0.8,0.1,-0.1,0,0
"Chandler Stephenson","24-25","SEA","C",78,1521.7,5.6,-6.2,4,-2.8,1,0.1,9.5,-9,1.1,1.7,0.3,0.5
"Charlie Coyle","24-25","BOS","C",64,1129.2,0.3,-1.3,-0.5,-1.3,0.9,0.2,-0.2,-2.6,1.1,-1.7,-0.3,-0.5
"Charlie Coyle","24-25","COL","C",19,281.3,3.6,1,1.7,1.1,0,-0.3,5.3,2.2,-0.3,7.2,1.2,2.2
"Charlie McAvoy","24-25","BOS","D",50,1184.8,2.6,0.5,-3.6,1.6,-1.3,0.7,-1,2.1,-0.6,0.5,0.1,0.2
"Chris Kreider","24-25","NYR","L",67,1124.7,1,-0.8,0.5,0.1,0.3,-1.4,1.5,-0.7,-1.1,-0.3,0,-0.1
"Chris Tanev","24-25","TOR","D",74,1465.1,1.4,10.1,0,1.9,1.3,0.2,1.4,12.1,1.4,14.9,2.4,4.6
"Chris Wagner","24-25","COL","R",28,198.7,-2.5,-1.9,0,0.6,0.4,0,-2.5,-1.3,0.4,-3.4,-0.6,-1.1
"Christian Dvorak","24-25","MTL","C",81,1233.2,1.2,1.1,0.8,0.3,0.8,-0.3,2,1.4,0.5,3.9,0.6,1.2
"Christian Fischer","24-25","DET","R",45,501.6,-1.2,-3.1,0,-1.9,0.4,0.5,-1.1,-5,0.9,-5.3,-0.9,-1.6
"Claude Giroux","24-25","OTT","R",80,1461.5,1.9,0.5,2.4,0.6,1,-0.3,4.3,1,0.7,6,1,1.9
"Clayton Keller","24-25","UTA","R",81,1548.6,6.3,0,4.4,0,0.7,3.1,10.7,0,3.8,14.5,2.4,4.5
"Cody Ceci","24-25","DAL","D",30,607.4,4.7,-0.4,0,-1.4,0.5,0.4,4.7,-1.8,0.8,3.7,0.6,1.1
"Cody Ceci","24-25","S.J","D",54,1175.7,1.7,-8.5,-0.1,-2.5,0.8,-0.2,1.6,-11,0.6,-8.8,-1.4,-2.7
"Cody Glass","24-25","N.J","C",13,186.8,2.2,1.3,0,-0.3,0.2,-0.3,2.2,1,-0.2,3.1,0.5,1
"Cody Glass","24-25","PIT","C",51,684,1.5,4.4,0.2,0.2,0.5,-0.2,1.7,4.6,0.3,6.7,1.1,2.1
"Cole Caufield","24-25","MTL","R",81,1466.8,11.3,-6.8,2.5,0,1.8,1.1,13.7,-6.8,2.9,9.9,1.6,3.1
"Cole Koepke","24-25","BOS","L",73,820.9,2.7,2.8,0,-1.1,0.7,-0.1,2.6,1.7,0.6,4.9,0.8,1.5
"Cole Perfetti","24-25","WPG","C",81,1226.2,1.5,1.6,2.5,0,0.8,-0.5,4,1.6,0.3,5.9,1,1.8
"Cole Reinhardt","24-25","OTT","L",17,139.4,0.2,-0.9,0,0,-0.5,-0.3,0.2,-0.9,-0.7,-1.4,-0.2,-0.4
"Cole Schwindt","24-25","VGK","R",41,378.6,1.1,0.2,0,0.3,0.8,0.8,1.1,0.5,1.6,3.2,0.5,1
"Cole Sillinger","24-25","CBJ","C",65,1101.2,0.7,-3,0.6,-1.9,0.1,-0.6,1.3,-4.9,-0.5,-4,-0.7,-1.2
"Cole Smith","24-25","NSH","L/R",70,950,0.2,1.2,0,-0.4,0,0.1,0.2,0.8,0.1,1.1,0.2,0.3
"Colin Blackwell","24-25","DAL","C",63,728.5,2.3,1.6,0,0,0,0.9,2.3,1.5,0.9,4.6,0.8,1.4
"Colin Miller","24-25","WPG","D",60,871.1,-2.3,6,-0.4,0.1,0,0.9,-2.7,6.1,0.9,4.3,0.7,1.3
"Collin Graf","24-25","S.J","R",33,523.4,1.5,-0.5,0.8,0.2,0.4,-0.6,2.2,-0.3,-0.3,1.7,0.3,0.5
"Colton Dach","24-25","CHI","C",25,303.2,2.3,-1.4,-0.3,0,-0.3,0.4,2,-1.4,0.1,0.7,0.1,0.2
"Colton Parayko","24-25","STL","D",64,1520.2,6.9,3.5,-1.5,-1.3,2.3,-0.5,5.4,2.2,1.8,9.4,1.5,2.9
"Colton Sissons","24-25","NSH","C",72,1033.8,0.5,3.7,-0.4,-2.9,-0.1,-0.7,0.1,0.7,-0.8,0,0,0
"Connor Bedard","24-25","CHI","C",82,1663.4,4,-5.6,4,0,-0.9,0.1,8,-5.5,-0.8,1.7,0.3,0.5
"Connor Brown","24-25","EDM","R",81,1132.3,2.7,2.1,0.5,0.7,1.4,-1.5,3.2,2.8,-0.1,5.9,1,1.8
"Connor Clifton","24-25","BUF","D",72,1151.2,1.3,-0.7,0,2.3,-1.1,0.4,1.3,1.6,-0.7,2.1,0.4,0.7
"Connor Dewar","24-25","PIT","C",16,230.5,0.8,0.8,0,-0.5,0.3,-0.1,0.8,0.2,0.2,1.2,0.2,0.4
"Connor Dewar","24-25","TOR","C",31,309.1,-2.7,-2.1,0,0.1,0.6,0.1,-2.7,-2,0.8,-4,-0.7,-1.2
"Connor McDavid","24-25","EDM","C",66,1458.6,17.7,0.7,3.5,0.1,0.9,1.5,21.2,0.7,2.5,24.4,4,7.6
"Connor McMichael","24-25","WSH","C",81,1363.5,10.9,-4.3,-0.6,-1,0.6,-1.4,10.3,-5.3,-0.8,4.2,0.7,1.3
"Connor Murphy","24-25","CHI","D",68,1401.8,-0.3,4.2,0,-0.9,-0.2,0.7,-0.3,3.3,0.4,3.5,0.6,1.1
