"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"Thomas Novak","22-23","NSH","C",51,747.3,8.7,-7.1,3.8,0,1,0.3,12.5,-7.1,1.3,6.7,1.1,2.2
"Tim Berni","22-23","CBJ","D",59,1000.9,-2.6,3.4,0.2,-0.3,-1.2,-0.8,-2.3,3.1,-2,-1.2,-0.2,-0.4
"Tim Stützle","22-23","OTT","L",78,1658.6,11.4,-1.1,0.1,-4.3,-1.2,2.9,11.5,-5.3,1.8,7.9,1.3,2.5
"Timo Meier","22-23","N.J","R",21,373.6,3.1,-0.9,-0.6,0,-0.6,-0.1,2.5,-0.9,-0.7,0.9,0.2,0.3
"Timo Meier","22-23","S.J","R",57,1138.7,4.3,2.6,2,0.2,1.1,1.8,6.3,2.8,2.9,12.1,2,3.9
"Timothy Liljegren","22-23","TOR","D",67,1199.9,3.4,1.1,0.1,-1.5,0.4,0.1,3.5,-0.4,0.5,3.6,0.6,1.2
"Tj Brodie","22-23","TOR","D",58,1230.6,-0.7,9.1,0,2.3,1.6,1.4,-0.7,11.4,3,13.7,2.3,4.4
"Tobias Bjornfot","22-23","L.A","D",10,142.8,0.9,-0.3,0,0.2,0,-0.2,0.9,-0.2,-0.2,0.6,0.1,0.2
"Tom Wilson","22-23","WSH","R",33,581.4,3.3,-2.8,-0.8,-0.3,-1,0.7,2.5,-3.1,-0.2,-0.8,-0.1,-0.3
"Tomas Hertl","22-23","S.J","C",79,1523.2,4.1,-4.1,2.5,0.5,-0.2,-0.9,6.6,-3.6,-1.1,2,0.3,0.6
"Tomas Nosek","22-23","BOS","L",66,828.5,-3,0.5,0.1,1.7,-0.3,-0.9,-2.9,2.1,-1.2,-2,-0.3,-0.6
"Tomas Tatar","22-23","N.J","L",82,1239.6,8,5,2.7,0,-0.2,-1.5,10.7,5,-1.6,14.1,2.4,4.5
"Tony Deangelo","22-23","PHI","D",70,1543.6,0.9,-10.9,3.2,-4.2,1,0.5,4,-15.1,1.5,-9.5,-1.6,-3.1
"Torey Krug","22-23","STL","D",63,1170.4,-0.4,-6.2,2.6,0,1.8,-0.4,2.2,-6.2,1.4,-2.6,-0.4,-0.8
"Travis Boyd","22-23","ARI","C",82,1355.5,1.1,-4.7,0.3,-3.2,0.5,0.2,1.4,-8,0.6,-5.9,-1,-1.9
"Travis Dermott","22-23","VAN","D",11,151.2,-0.7,0.1,0,-0.2,0,-0.2,-0.7,-0.1,-0.2,-0.9,-0.2,-0.3
"Travis Hamonic","22-23","OTT","D",75,1392,2.7,-1.7,0.2,-0.1,-0.8,-0.5,2.9,-1.8,-1.3,-0.1,0,0
"Travis Konecny","22-23","PHI","R",60,1206.5,4.4,-5.4,2.6,-1.6,-0.7,1.2,7,-7,0.5,0.5,0.1,0.2
